Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
32.33,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,278.25656,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,278.25656,87.32761,58.93821,103.53265,272.73325
32.0,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,287.49756,87.32761,58.93821,102.63236,272.73325
32.0,938.35901,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,97.55782,64.64431,874.23993,278.25656,87.32761,58.93821,102.63236,272.73325
32.0,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,288.52435,87.32761,58.93821,103.53265,272.73325
32.33,937.53729,305.90295,561.74872,268.82104,360.93796,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,287.49756,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,288.52435,87.32761,58.93821,102.63236,272.73325
32.0,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,278.25656,87.32761,58.93821,103.53265,272.73325
32.0,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,876.46729,287.49756,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,165.88293,57.38243,98.17921,64.64431,875.35364,287.49756,87.32761,58.93821,102.63236,272.73325
32.67,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,289.55112,87.32761,58.93821,102.63236,272.73325
32.0,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,875.35364,278.25656,87.32761,58.93821,102.63236,273.91391
32.0,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,875.35364,288.52435,87.32761,58.93821,102.63236,272.73325
32.0,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,287.49756,87.32761,58.93821,103.53265,273.91391
32.33,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,876.46729,278.25656,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,874.23993,287.49756,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,876.46729,287.49756,87.32761,58.93821,103.53265,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,165.88293,57.38243,98.17921,64.64431,874.23993,278.25656,87.32761,58.93821,102.63236,272.73325
32.67,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,875.35364,289.55112,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,876.46729,287.49756,87.32761,58.93821,103.53265,273.91391
32.0,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,278.25656,87.32761,58.93821,103.53265,272.73325
32.0,938.35901,305.90295,562.70081,268.82104,360.93796,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,287.49756,87.32761,58.93821,102.63236,273.91391
32.33,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,875.35364,288.52435,87.32761,58.93821,103.53265,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.93796,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,875.35364,288.52435,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,287.49756,87.32761,58.93821,102.63236,272.73325
31.67,937.53729,305.90295,562.70081,269.73853,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,876.46729,278.25656,87.32761,58.93821,103.53265,273.91391
32.0,937.53729,305.90295,562.70081,268.82104,360.93796,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,278.25656,87.32761,58.93821,103.53265,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,874.23993,287.49756,87.32761,58.93821,103.53265,273.91391
32.33,937.53729,305.90295,562.70081,269.73853,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,875.35364,288.52435,87.32761,58.93821,102.63236,272.73325
32.0,938.35901,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,278.25656,87.32761,58.93821,103.53265,272.73325
32.0,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.76498,97.55782,64.64431,875.35364,287.49756,87.32761,58.93821,102.63236,272.73325
32.0,937.53729,305.90295,562.70081,269.73853,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,287.49756,87.32761,58.93821,103.53265,273.91391
32.67,937.53729,305.90295,561.74872,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,874.23993,278.25656,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,415.97055,207.95923,257.63007,166.29973,57.38243,98.17921,64.64431,875.35364,288.52435,87.32761,58.93821,103.53265,272.73325
32.0,937.53729,305.90295,562.70081,269.73853,360.20731,415.97055,207.95923,257.63007,165.88293,57.38243,98.17921,64.64431,875.35364,278.25656,87.32761,58.93821,102.63236,272.73325
32.33,937.53729,305.90295,562.70081,268.82104,360.20731,416.66733,207.95923,257.63007,166.29973,57.76498,98.17921,64.64431,874.23993,278.25656,87.32761,58.93821,102.63236,272.73325
