Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
32.33,617.90363,498.26523,1137.77917,590.85583,899.4223,993.59131,537.14349,655.74231,390.11664,236.79816,153.48268,99.81841,2193.95239,1050.39294,384.0719,223.30112,206.16501,428.58084
32.33,617.90363,498.26523,1137.77917,590.85583,899.4223,994.28809,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1051.41968,384.0719,222.47101,206.16501,428.58084
32.67,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,237.18071,153.48268,99.81841,2195.06616,1050.39294,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,499.20358,1137.77917,589.93835,900.15295,994.28809,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1050.39294,384.0719,222.47101,206.16501,428.58084
32.0,617.90363,498.26523,1137.77917,589.93835,900.15295,994.28809,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2197.29346,1023.69672,384.0719,222.47101,206.16501,428.58084
32.33,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.95023,236.79816,153.48268,99.81841,2196.17969,1051.41968,384.0719,222.47101,206.16501,428.58084
32.33,617.90363,494.51181,1137.77917,589.93835,900.15295,994.98486,537.6507,655.74231,390.53345,236.79816,153.48268,99.81841,2195.06616,1024.72351,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1050.39294,384.0719,222.47101,205.26472,428.58084
32.0,617.90363,498.26523,1137.77917,589.93835,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1023.69672,384.0719,222.47101,205.26472,428.58084
32.0,617.90363,499.20358,1137.77917,589.93835,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1052.44641,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1137.77917,590.85583,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1052.44641,384.0719,222.47101,206.16501,428.58084
32.33,617.90363,499.20358,1137.77917,590.85583,901.61426,994.98486,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1054.5,384.0719,222.47101,206.16501,428.58084
32.0,617.90363,498.26523,1137.77917,589.93835,900.88361,995.68164,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1025.75024,384.91974,223.30112,206.16501,428.58084
32.33,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1052.44641,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,498.26523,1137.77917,589.93835,900.88361,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1048.33936,384.0719,222.47101,205.26472,428.58084
33.0,617.90363,499.20358,1137.77917,590.85583,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1050.39294,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1137.77917,589.93835,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1052.44641,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1137.77917,590.85583,900.88361,995.68164,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1051.41968,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1138.7312,590.85583,900.15295,994.98486,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1025.75024,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,499.20358,1137.77917,590.85583,900.88361,994.98486,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1052.44641,384.0719,222.47101,205.26472,428.58084
32.0,617.90363,498.26523,1137.77917,590.85583,900.15295,995.68164,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2197.29346,1050.39294,384.0719,222.47101,205.26472,428.58084
32.0,617.90363,499.20358,1137.77917,590.85583,900.15295,994.98486,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1024.72351,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,498.26523,1137.77917,589.93835,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1024.72351,384.0719,222.47101,206.16501,427.40018
32.0,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2196.17969,1023.69672,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1137.77917,590.85583,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1024.72351,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1052.44641,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,498.26523,1137.77917,590.85583,900.15295,995.68164,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1050.39294,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,498.26523,1138.7312,590.85583,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1050.39294,384.0719,222.47101,205.26472,428.58084
32.0,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1054.5,384.0719,222.47101,205.26472,427.40018
32.33,617.90363,498.26523,1137.77917,590.85583,900.15295,995.68164,538.1579,656.21851,390.53345,236.79816,153.48268,99.81841,2196.17969,1023.69672,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,499.20358,1137.77917,590.85583,900.15295,995.68164,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2197.29346,1052.44641,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,498.26523,1137.77917,590.85583,900.15295,995.68164,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2195.06616,1050.39294,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,499.20358,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1024.72351,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,499.20358,1138.7312,590.85583,900.15295,995.68164,538.1579,656.69476,390.95023,236.79816,153.48268,99.81841,2196.17969,1051.41968,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1137.77917,590.85583,900.15295,994.98486,537.6507,656.69476,390.53345,236.79816,153.48268,99.81841,2196.17969,1050.39294,384.0719,222.47101,205.26472,428.58084
32.67,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2196.17969,1023.69672,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1137.77917,590.85583,900.88361,995.68164,538.1579,656.69476,390.53345,236.79816,153.48268,99.81841,2197.29346,1051.41968,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,498.26523,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1050.39294,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,499.20358,1137.77917,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2196.17969,1024.72351,384.0719,222.47101,205.26472,428.58084
32.33,617.90363,498.26523,1138.7312,590.85583,900.15295,994.98486,537.6507,656.21851,390.53345,236.79816,153.48268,99.81841,2195.06616,1024.72351,384.0719,222.47101,205.26472,428.58084
