Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
31.67,593.25323,486.06665,1122.54529,593.60822,944.72223,1068.14551,504.17435,622.40753,387.61591,201.22105,131.11273,90.3119,2189.4978,912.80475,317.94031,184.28568,176.45564,356.56036
32.33,593.25323,486.06665,1121.59314,593.60822,944.72223,1068.84229,504.68155,622.88379,387.61591,201.22105,131.11273,90.3119,2190.61133,913.83154,318.78815,184.28568,176.45564,357.74103
31.67,593.25323,486.06665,1121.59314,593.60822,944.72223,1068.84229,504.68155,622.40753,387.1991,201.22105,131.11273,90.3119,2190.61133,913.83154,317.94031,184.28568,176.45564,356.56036
31.67,593.25323,486.06665,1121.59314,593.60822,945.45288,1068.84229,504.68155,622.40753,387.61591,201.22105,131.11273,90.3119,2190.61133,936.42065,317.94031,184.28568,176.45564,357.74103
32.0,593.25323,486.06665,1121.59314,593.60822,945.45288,1068.84229,504.68155,622.40753,387.61591,201.22105,131.11273,90.3119,2189.4978,936.42065,318.78815,184.28568,176.45564,357.74103
32.0,593.25323,486.06665,1121.59314,593.60822,946.18347,1068.84229,504.68155,622.88379,387.61591,201.22105,131.11273,90.3119,2190.61133,936.42065,318.78815,184.28568,176.45564,357.74103
31.67,593.25323,486.06665,1121.59314,593.60822,945.45288,1068.84229,504.68155,622.88379,388.03268,201.22105,131.11273,90.3119,2191.7251,936.42065,318.78815,184.28568,176.45564,357.74103
31.67,593.25323,486.06665,1121.59314,593.60822,946.18347,1068.84229,504.17435,622.88379,387.61591,201.22105,131.11273,90.3119,2192.83887,913.83154,318.78815,184.28568,176.45564,357.74103
32.0,593.25323,486.06665,1122.54529,593.60822,946.18347,1068.84229,504.17435,622.88379,387.61591,201.22105,131.11273,90.3119,2190.61133,938.47418,318.78815,184.28568,176.45564,356.56036
32.0,593.25323,486.06665,1121.59314,593.60822,945.45288,1068.84229,504.68155,622.40753,387.61591,201.22105,131.11273,90.3119,2190.61133,936.42065,317.94031,184.28568,176.45564,356.56036
31.67,593.25323,486.06665,1121.59314,593.60822,945.45288,1069.53906,504.68155,622.88379,388.03268,201.22105,131.11273,90.3119,2191.7251,936.42065,318.78815,184.28568,176.45564,357.74103
31.67,593.25323,486.06665,1122.54529,593.60822,946.18347,1068.84229,504.68155,622.88379,387.61591,201.22105,131.11273,90.3119,2190.61133,936.42065,318.78815,184.28568,175.55536,356.56036
32.0,593.25323,486.06665,1121.59314,593.60822,945.45288,1068.84229,504.68155,622.40753,387.61591,201.22105,131.11273,90.3119,2191.7251,913.83154,317.94031,184.28568,176.45564,357.74103
31.67,593.25323,486.06665,1121.59314,593.60822,944.72223,1068.84229,504.17435,622.40753,387.61591,201.22105,131.11273,90.3119,2189.4978,936.42065,317.94031,184.28568,175.55536,356.56036
31.67,593.25323,486.06665,1121.59314,593.60822,945.45288,1068.84229,504.68155,622.88379,387.61591,201.22105,131.11273,90.3119,2190.61133,937.44745,318.78815,184.28568,175.55536,357.74103
32.0,593.25323,486.06665,1122.54529,593.60822,944.72223,1068.84229,504.17435,622.40753,387.61591,201.22105,131.11273,90.3119,2189.4978,912.80475,318.78815,184.28568,176.45564,356.56036
