Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,377.53799,163.25755,54.26181,34.86486,58.51845,159.38957
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,160.57024
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,159.38957
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,160.57024
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,162.23077,54.26181,34.86486,58.51845,159.38957
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,159.38957
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,160.57024
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,160.57024
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,159.38957
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,159.38957
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,159.38957
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,377.53799,162.23077,54.26181,34.86486,58.51845,159.38957
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,162.23077,54.26181,34.86486,58.51845,159.38957
32.67,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,159.38957
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.77206,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,159.38957
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,162.23077,54.26181,34.86486,58.51845,159.38957
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,159.38957
32.67,278.54965,95.71197,191.3754,100.0051,141.74486,163.04373,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,160.57024
32.0,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,163.25755,54.26181,34.86486,58.51845,159.38957
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,160.57024
32.33,278.54965,95.71197,191.3754,100.0051,141.74486,163.74051,78.61874,103.81396,73.35527,32.89926,57.16764,41.82867,376.42432,157.09688,54.26181,34.86486,58.51845,159.38957
