Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.67,1148.70911,943.04437,2146.07031,1014.73065,1481.74524,1714.74634,845.5318,1003.37622,593.5108,237.18071,155.34685,110.27558,3284.24658,1187.98108,359.48453,218.32042,216.96841,412.05154
35.33,1147.0658,943.04437,2145.11841,1014.73065,1481.74524,1715.44312,846.03906,1004.32867,593.09399,237.18071,155.34685,110.27558,3282.01929,1182.84717,358.63669,218.32042,216.06813,412.05154
34.67,1147.88745,943.04437,2145.11841,1014.73065,1483.20654,1714.74634,846.03906,1004.80487,593.92761,237.18071,155.34685,110.27558,3287.58765,1152.04382,359.48453,218.32042,216.96841,412.05154
35.33,1147.88745,943.98273,2145.11841,1014.73065,1483.93726,1715.44312,846.54626,1005.28107,594.34436,237.18071,155.34685,110.27558,3285.36035,1190.03455,359.48453,218.32042,216.96841,412.05154
35.33,1147.88745,943.98273,2146.07031,1014.73065,1483.20654,1715.44312,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3287.58765,1151.01709,359.48453,218.32042,216.96841,413.23221
35.0,1148.70911,943.98273,2146.07031,1014.73065,1483.20654,1716.83667,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3287.58765,1151.01709,359.48453,218.32042,216.96841,413.23221
35.0,1147.88745,943.04437,2143.21411,1014.73065,1483.20654,1715.44312,846.54626,1004.80487,593.92761,237.56325,155.34685,110.27558,3288.70117,1182.84717,359.48453,218.32042,216.96841,412.05154
35.0,1148.70911,943.98273,2146.07031,1013.81317,1484.66785,1717.53333,847.05347,1004.80487,594.34436,237.18071,155.34685,110.27558,3288.70117,1178.73999,359.48453,218.32042,216.96841,412.05154
35.33,1147.88745,943.04437,2143.21411,1013.81317,1483.93726,1716.83667,846.54626,1004.80487,593.5108,237.18071,155.34685,110.27558,3285.36035,1183.8739,359.48453,218.32042,216.96841,412.05154
35.0,1148.70911,943.98273,2145.11841,1013.81317,1483.93726,1717.53333,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3288.70117,1151.01709,359.48453,218.32042,216.96841,412.05154
35.0,1148.70911,943.04437,2143.21411,1013.81317,1483.93726,1716.13989,847.05347,1005.28107,594.34436,237.18071,155.34685,110.27558,3288.70117,1182.84717,359.48453,218.32042,216.96841,413.23221
35.0,1147.88745,943.04437,2143.21411,1013.81317,1483.93726,1715.44312,847.05347,1004.80487,593.92761,237.56325,155.34685,110.27558,3288.70117,1180.79358,359.48453,218.32042,216.96841,412.05154
35.33,1147.0658,943.98273,2145.11841,1014.73065,1483.93726,1718.2301,847.05347,1005.28107,594.34436,237.56325,155.34685,110.27558,3288.70117,1183.8739,359.48453,218.32042,216.96841,412.05154
35.33,1147.88745,943.98273,2144.16626,1014.73065,1483.93726,1715.44312,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3288.70117,1180.79358,359.48453,218.32042,216.96841,412.05154
35.67,1148.70911,943.98273,2146.07031,1013.81317,1483.93726,1717.53333,846.54626,1005.28107,594.34436,237.18071,155.34685,110.27558,3288.70117,1152.04382,359.48453,218.32042,216.96841,413.23221
35.33,1147.88745,943.98273,2145.11841,1014.73065,1483.93726,1715.44312,846.54626,1004.80487,594.34436,237.18071,155.34685,110.27558,3288.70117,1178.73999,359.48453,218.32042,216.96841,413.23221
35.33,1148.70911,943.98273,2145.11841,1013.81317,1483.20654,1717.53333,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3287.58765,1151.01709,359.48453,218.32042,216.96841,413.23221
36.0,1148.70911,943.98273,2144.16626,1014.73065,1483.93726,1717.53333,846.54626,1004.80487,593.92761,237.56325,155.34685,110.27558,3288.70117,1179.76685,359.48453,218.32042,216.96841,412.05154
35.33,1148.70911,943.98273,2147.02246,1014.73065,1484.66785,1718.2301,847.05347,1005.28107,594.34436,237.18071,155.34685,110.27558,3287.58765,1180.79358,359.48453,218.32042,216.96841,412.05154
35.0,1148.70911,943.98273,2147.02246,1014.73065,1483.93726,1717.53333,847.05347,1005.28107,594.34436,237.18071,155.34685,110.27558,3288.70117,1152.04382,359.48453,218.32042,216.96841,412.05154
