Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.67,1199.65332,983.39349,2232.71313,1002.80341,1392.60681,1560.06384,682.71497,858.1319,618.51825,243.68405,158.45378,110.27558,3412.31982,1237.26636,367.11508,223.30112,223.2704,435.66483
35.67,1198.83167,983.39349,2231.76099,1001.88593,1393.3374,1560.06384,683.22217,858.60815,619.35187,243.68405,158.45378,110.27558,3414.54736,1237.26636,366.26724,223.30112,223.2704,435.66483
36.0,1200.47498,983.39349,2231.76099,1001.88593,1394.79871,1561.45728,683.22217,859.08435,619.76868,243.68405,158.45378,110.27558,3415.66089,1237.26636,367.11508,223.30112,223.2704,435.66483
35.67,1198.83167,984.33185,2230.80884,1001.88593,1394.06799,1561.45728,683.72937,859.56055,619.35187,244.06659,158.45378,110.27558,3416.77466,1238.29309,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,984.33185,2229.85669,1001.88593,1394.79871,1562.15405,683.72937,859.56055,619.76868,244.06659,158.45378,110.27558,3421.22949,1272.17676,367.11508,223.30112,223.2704,435.66483
35.33,1199.65332,984.33185,2231.76099,1001.88593,1394.79871,1562.15405,683.72937,860.03674,619.35187,244.06659,158.45378,110.27558,3421.22949,1272.17676,367.11508,223.30112,223.2704,435.66483
36.0,1200.47498,984.33185,2229.85669,1001.88593,1394.79871,1561.45728,683.72937,859.56055,619.76868,244.06659,158.45378,110.27558,3421.22949,1270.12317,367.11508,224.13123,223.2704,435.66483
36.0,1199.65332,984.33185,2229.85669,1001.88593,1394.06799,1560.7605,683.72937,859.56055,619.35187,244.06659,158.45378,110.27558,3416.77466,1274.23035,367.11508,223.30112,223.2704,435.66483
36.0,1200.47498,983.39349,2231.76099,1002.80341,1394.06799,1560.7605,683.22217,859.08435,619.35187,243.68405,158.45378,110.27558,3415.66089,1237.26636,366.26724,223.30112,222.37012,435.66483
35.67,1200.47498,983.39349,2231.76099,1001.88593,1393.3374,1560.7605,683.22217,859.08435,619.35187,244.06659,158.45378,110.27558,3415.66089,1269.09644,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,983.39349,2230.80884,1001.88593,1393.3374,1559.36707,683.22217,859.08435,619.35187,243.68405,158.45378,110.27558,3415.66089,1237.26636,367.11508,223.30112,223.2704,435.66483
36.0,1200.47498,984.33185,2230.80884,1001.88593,1394.06799,1560.7605,683.22217,859.56055,619.35187,243.68405,158.45378,110.27558,3416.77466,1269.09644,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,983.39349,2230.80884,1001.88593,1394.06799,1560.06384,683.22217,859.56055,619.35187,243.68405,158.45378,110.27558,3420.11572,1237.26636,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,984.33185,2231.76099,1001.88593,1394.79871,1562.15405,683.72937,859.56055,619.76868,244.06659,158.45378,110.27558,3417.88843,1269.09644,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,983.39349,2231.76099,1001.88593,1394.79871,1561.45728,683.72937,859.56055,619.76868,244.06659,158.45378,110.27558,3421.22949,1272.17676,367.11508,223.30112,223.2704,435.66483
36.0,1200.47498,984.33185,2231.76099,1001.88593,1395.5293,1560.06384,684.23663,859.56055,620.18542,244.06659,158.45378,110.27558,3419.00195,1239.31982,367.11508,223.30112,223.2704,435.66483
36.0,1200.47498,983.39349,2231.76099,1001.88593,1394.79871,1560.06384,683.72937,859.56055,619.76868,243.68405,158.45378,110.27558,3421.22949,1270.12317,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,984.33185,2228.90454,1001.88593,1394.79871,1562.15405,683.72937,859.56055,619.35187,243.68405,158.45378,110.27558,3420.11572,1237.26636,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,984.33185,2228.90454,1001.88593,1394.79871,1562.85083,683.72937,859.56055,619.35187,244.06659,158.45378,110.27558,3421.22949,1272.17676,367.11508,223.30112,223.2704,435.66483
35.67,1200.47498,984.33185,2230.80884,1001.88593,1395.5293,1561.45728,683.72937,859.56055,619.35187,244.06659,158.45378,110.27558,3417.88843,1238.29309,366.26724,223.30112,223.2704,435.66483
