Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
36.0,427.2738,334.99188,752.172,269.73853,483.6861,618.03333,277.44806,383.82593,213.81393,58.91263,42.87573,39.92737,1284.07471,313.16699,93.26249,63.08879,66.62101,105.07905
36.0,427.2738,334.99188,752.172,269.73853,483.6861,618.03333,277.44806,383.82593,214.23073,58.91263,42.87573,39.92737,1284.07471,313.16699,93.26249,63.08879,66.62101,105.07905
36.0,427.2738,334.99188,752.172,269.73853,483.6861,618.7301,277.44806,383.82593,214.23073,58.91263,42.87573,39.92737,1285.18835,302.89923,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,335.93024,752.172,269.73853,483.6861,619.42682,277.44806,383.82593,214.23073,58.91263,42.87573,39.92737,1284.07471,314.19376,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,334.99188,752.172,269.73853,484.41672,618.7301,277.44806,384.30215,213.81393,58.91263,43.49712,39.92737,1285.18835,302.89923,93.26249,63.08879,66.62101,106.25971
36.0,427.2738,335.93024,752.172,269.73853,483.6861,618.7301,277.44806,384.30215,214.23073,58.91263,43.49712,39.92737,1285.18835,303.92599,93.26249,63.08879,66.62101,106.25971
36.0,427.2738,334.99188,752.172,269.73853,484.41672,619.42682,277.44806,384.30215,214.23073,58.91263,42.87573,39.92737,1284.07471,313.16699,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,335.93024,752.172,269.73853,484.41672,618.7301,277.95526,384.30215,214.23073,58.91263,42.87573,39.92737,1285.18835,313.16699,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,334.99188,752.172,269.73853,484.41672,618.7301,277.44806,384.30215,213.81393,58.91263,42.87573,39.92737,1284.07471,314.19376,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,335.93024,752.172,269.73853,484.41672,618.7301,277.44806,384.30215,213.81393,58.91263,42.87573,39.92737,1285.18835,313.16699,93.26249,63.08879,66.62101,106.25971
36.0,427.2738,334.99188,752.172,269.73853,484.41672,618.7301,277.44806,383.82593,214.23073,58.91263,42.87573,39.92737,1284.07471,313.16699,93.26249,63.08879,66.62101,105.07905
36.0,427.2738,335.93024,752.172,269.73853,484.41672,618.7301,277.44806,384.30215,213.81393,58.91263,42.87573,39.92737,1285.18835,314.19376,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,335.93024,752.172,269.73853,484.41672,618.7301,277.44806,384.30215,213.81393,58.91263,42.87573,39.92737,1285.18835,314.19376,93.26249,62.25867,66.62101,106.25971
35.67,428.09546,335.93024,751.21985,269.73853,484.41672,618.7301,277.95526,384.30215,214.23073,58.91263,42.87573,39.92737,1285.18835,313.16699,93.26249,63.08879,66.62101,106.25971
36.0,427.2738,335.93024,751.21985,269.73853,484.41672,619.42682,277.44806,384.30215,214.23073,58.91263,42.87573,39.92737,1285.18835,303.92599,93.26249,63.08879,66.62101,105.07905
35.67,427.2738,335.93024,752.172,269.73853,484.41672,619.42682,277.95526,384.30215,214.23073,58.91263,42.87573,39.92737,1285.18835,313.16699,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,335.93024,752.172,269.73853,484.41672,618.7301,277.95526,384.30215,214.23073,58.91263,42.87573,39.92737,1285.18835,303.92599,93.26249,62.25867,66.62101,105.07905
36.0,427.2738,335.93024,752.172,269.73853,484.41672,618.7301,277.95526,384.30215,214.23073,58.91263,42.87573,39.92737,1286.302,302.89923,93.26249,63.08879,66.62101,106.25971
36.0,428.09546,335.93024,752.172,269.73853,484.41672,619.42682,277.95526,384.30215,214.23073,58.91263,42.87573,39.92737,1285.18835,303.92599,93.26249,63.08879,66.62101,106.25971
35.67,427.2738,335.93024,752.172,269.73853,485.14737,619.42682,277.95526,384.77835,214.23073,58.91263,42.87573,39.92737,1286.302,314.19376,93.26249,63.08879,66.62101,106.25971
