Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
36.0,393.5849,313.40976,724.56061,319.28232,474.18771,581.80139,285.0563,344.30045,255.49306,131.97958,124.89886,80.80538,1311.91675,534.95081,271.30908,171.83394,155.74911,345.93439
35.67,393.5849,313.40976,724.56061,318.36487,474.18771,581.80139,285.0563,344.30045,255.07626,131.97958,124.89886,80.80538,1311.91675,534.95081,271.30908,171.83394,155.74911,345.93439
35.67,394.40659,313.40976,724.56061,319.28232,474.91837,581.10461,285.0563,344.30045,255.49306,131.97958,125.52025,80.80538,1313.0304,538.03119,271.30908,171.83394,155.74911,345.93439
35.67,393.5849,313.40976,724.56061,319.28232,474.91837,581.10461,285.0563,344.30045,255.49306,131.97958,125.52025,80.80538,1310.8031,534.95081,271.30908,171.83394,155.74911,345.93439
36.0,393.5849,313.40976,724.56061,319.28232,474.91837,581.80139,285.0563,344.30045,255.07626,131.97958,125.52025,80.80538,1311.91675,537.00439,271.30908,171.83394,155.74911,345.93439
35.67,393.5849,313.40976,724.56061,319.28232,474.18771,580.40784,285.0563,344.30045,255.49306,131.97958,125.52025,80.80538,1313.0304,532.89728,271.30908,171.83394,155.74911,344.75372
35.67,393.5849,313.40976,723.60846,319.28232,474.91837,581.80139,285.0563,344.30045,255.49306,131.97958,125.52025,80.80538,1313.0304,533.92407,271.30908,171.83394,155.74911,344.75372
36.33,394.40659,313.40976,724.56061,319.28232,474.91837,581.10461,285.0563,344.30045,255.49306,131.97958,124.89886,80.80538,1311.91675,519.54919,271.30908,171.83394,155.74911,344.75372
36.0,393.5849,313.40976,724.56061,319.28232,474.91837,581.80139,285.0563,344.30045,255.49306,131.59703,124.89886,80.80538,1311.91675,535.9776,271.30908,171.83394,155.74911,344.75372
36.0,393.5849,313.40976,724.56061,319.28232,474.91837,581.10461,285.0563,344.30045,255.49306,131.97958,124.89886,80.80538,1311.91675,538.03119,271.30908,171.83394,155.74911,345.93439
