Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
31.67,1313.04517,1109.13281,2482.16748,1145.01245,1714.08997,2013.65979,1024.07239,1187.6698,685.62164,247.50954,162.80348,115.97949,3792.08521,1213.65039,366.26724,226.62158,237.67494,434.48416
31.67,1314.6886,1111.00952,2485.97607,1145.92993,1716.28186,2017.14368,1024.57959,1188.146,686.03845,247.50954,162.80348,115.97949,3792.08521,1254.72156,367.11508,226.62158,237.67494,434.48416
31.33,1313.86694,1111.00952,2484.07178,1145.92993,1717.01257,2016.4469,1024.57959,1188.146,685.62164,247.50954,162.80348,115.97949,3789.85791,1247.53406,366.26724,226.62158,237.67494,434.48416
31.67,1314.6886,1111.00952,2485.02393,1145.92993,1717.01257,2017.14368,1024.57959,1187.6698,685.62164,247.50954,162.80348,115.97949,3790.97168,1251.64124,366.26724,226.62158,237.67494,435.66483
32.0,1316.33191,1112.88611,2490.73657,1146.84741,1717.74316,2019.93079,1024.57959,1187.6698,685.62164,247.50954,162.80348,116.93015,3796.54004,1247.53406,367.11508,226.62158,237.67494,435.66483
31.67,1317.15369,1113.82446,2491.68872,1146.84741,1718.47388,2021.32422,1024.07239,1187.1936,685.2049,247.50954,162.80348,116.93015,3795.42627,1216.73083,367.11508,226.62158,237.67494,435.66483
31.67,1319.61865,1114.76282,2495.49707,1147.76489,1719.93506,2024.11133,1024.07239,1187.1936,685.62164,247.50954,163.42488,116.93015,3798.76733,1217.75757,367.11508,227.45169,237.67494,435.66483
31.33,1320.44031,1115.70117,2497.40137,1148.68237,1722.85767,2025.50488,1024.07239,1188.62219,685.62164,247.50954,163.42488,116.93015,3798.76733,1249.58765,367.96292,227.45169,237.67494,435.66483
32.0,1320.44031,1116.63953,2498.35352,1148.68237,1723.58838,2026.89844,1025.08691,1188.146,686.03845,247.89209,163.42488,116.93015,3803.22217,1250.61438,368.81076,227.45169,238.57523,435.66483
31.67,1320.44031,1115.70117,2498.35352,1148.68237,1723.58838,2026.20166,1024.57959,1187.6698,685.62164,247.89209,163.42488,116.93015,3798.76733,1249.58765,367.96292,227.45169,238.57523,435.66483
