Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.33,1313.04517,1051.89319,2275.55835,878.02643,1434.98413,1808.11328,900.31134,1074.80786,608.93207,164.49629,111.84972,88.4106,3415.66089,856.33203,244.17816,161.04243,176.45564,282.17856
35.0,1313.04517,1051.89319,2276.5105,878.02643,1434.25342,1807.4165,900.31134,1074.80786,608.93207,164.49629,111.84972,88.4106,3415.66089,834.76971,244.17816,161.04243,175.55536,280.99789
35.0,1313.86694,1051.89319,2276.5105,878.02643,1433.52283,1807.4165,900.31134,1074.80786,608.51526,164.49629,111.84972,88.4106,3415.66089,834.76971,244.17816,161.04243,175.55536,280.99789
35.67,1313.04517,1051.89319,2277.4624,878.02643,1434.98413,1808.11328,900.81854,1074.80786,608.93207,164.49629,111.84972,88.4106,3416.77466,856.33203,244.17816,161.04243,176.45564,280.99789
34.67,1313.86694,1051.89319,2277.4624,878.02643,1434.25342,1808.11328,900.31134,1074.80786,609.34888,164.49629,111.84972,88.4106,3416.77466,859.41235,244.17816,161.04243,175.55536,282.17856
35.0,1313.86694,1051.89319,2277.4624,878.02643,1435.71472,1808.81006,900.81854,1075.28406,609.34888,164.49629,111.84972,88.4106,3417.88843,858.38562,244.17816,161.04243,176.45564,282.17856
35.0,1313.86694,1052.83154,2277.4624,878.02643,1435.71472,1808.11328,900.81854,1075.28406,609.34888,164.49629,111.84972,88.4106,3416.77466,835.79651,244.17816,161.04243,176.45564,282.17856
35.33,1313.86694,1052.83154,2276.5105,878.02643,1434.98413,1809.50671,901.32574,1075.28406,609.34888,164.49629,111.84972,88.4106,3417.88843,854.2785,244.17816,161.04243,176.45564,282.17856
35.0,1313.86694,1052.83154,2274.6062,878.02643,1434.98413,1808.81006,900.81854,1074.80786,608.93207,164.49629,111.84972,88.4106,3414.54736,858.38562,244.17816,161.04243,176.45564,282.17856
35.0,1313.86694,1051.89319,2276.5105,878.02643,1435.71472,1808.81006,901.32574,1075.28406,608.93207,164.49629,111.84972,88.4106,3414.54736,835.79651,244.17816,161.04243,175.55536,280.99789
42.0,1307.29346,1026.55774,2266.98926,881.69635,1347.30688,1716.13989,854.66174,1010.99561,573.08801,159.9057,107.50002,85.55864,3234.13086,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,855.16895,1010.04315,573.08801,159.9057,107.50002,86.50929,3234.13086,810.12708,239.93896,157.72198,164.75195,264.46863
41.67,1307.29346,1026.55774,2266.98926,881.69635,1347.30688,1715.44312,854.66174,1010.04315,573.08801,159.9057,107.50002,86.50929,3236.35815,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,573.08801,159.52315,107.50002,86.50929,3237.47192,810.12708,239.93896,157.72198,164.75195,265.64929
42.33,1307.29346,1026.55774,2266.03711,881.69635,1346.57617,1715.44312,854.66174,1009.56696,573.08801,159.52315,107.50002,86.50929,3236.35815,810.12708,240.7868,157.72198,164.75195,265.64929
42.0,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,573.08801,159.9057,107.50002,86.50929,3233.01709,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,855.67615,1009.56696,572.6712,159.52315,107.50002,86.50929,3233.01709,810.12708,239.93896,157.72198,164.75195,265.64929
42.0,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,572.25446,159.9057,107.50002,85.55864,3236.35815,810.12708,239.93896,158.55209,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,572.6712,159.9057,107.50002,86.50929,3235.24463,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1010.04315,572.6712,159.52315,107.50002,86.50929,3231.90356,810.12708,239.93896,157.72198,164.75195,265.64929
35.0,1168.42944,957.11963,2157.49585,997.29852,1448.13562,1700.11414,840.45966,1011.4718,615.60071,205.81165,136.08383,101.71972,3375.56836,1044.23218,312.00543,195.07718,198.96274,354.19904
35.0,1166.78613,957.11963,2156.5437,996.38104,1448.13562,1700.81091,840.45966,1011.4718,615.60071,205.81165,136.08383,101.71972,3376.68213,1044.23218,312.00543,195.07718,198.96274,354.19904
35.67,1168.42944,957.11963,2157.49585,996.38104,1449.59692,1700.81091,841.47406,1011.948,615.60071,205.81165,136.08383,101.71972,3378.90942,1018.56281,312.00543,195.07718,199.86302,354.19904
35.33,1168.42944,957.11963,2158.448,996.38104,1448.86633,1701.50769,840.96686,1011.4718,615.18396,205.81165,136.08383,101.71972,3377.7959,1045.25903,311.15759,195.07718,198.96274,354.19904
35.0,1166.78613,957.11963,2157.49585,996.38104,1448.86633,1701.50769,840.96686,1011.948,615.60071,205.42909,136.08383,101.71972,3376.68213,1046.28577,311.15759,195.07718,198.96274,354.19904
35.0,1168.42944,957.11963,2157.49585,996.38104,1448.13562,1700.81091,839.95239,1011.4718,615.60071,205.81165,136.08383,101.71972,3376.68213,1018.56281,311.15759,195.07718,199.86302,354.19904
35.0,1166.78613,957.11963,2157.49585,996.38104,1448.86633,1699.41736,840.96686,1011.4718,616.01752,205.81165,136.08383,101.71972,3376.68213,1019.5896,312.00543,195.07718,198.96274,354.19904
35.0,1168.42944,957.11963,2155.59155,996.38104,1449.59692,1702.20447,840.96686,1011.948,616.01752,205.81165,136.08383,101.71972,3377.7959,1019.5896,312.00543,195.07718,199.86302,354.19904
35.33,1167.60779,957.11963,2157.49585,996.38104,1448.13562,1701.50769,840.96686,1011.4718,615.18396,205.81165,136.08383,101.71972,3373.34106,1044.23218,311.15759,195.07718,199.86302,354.19904
35.33,1168.42944,957.11963,2158.448,996.38104,1448.86633,1701.50769,841.47406,1011.948,616.01752,205.81165,136.08383,101.71972,3376.68213,1019.5896,312.00543,195.07718,198.96274,354.19904
42.0,1156.9259,930.84576,2145.11841,994.54614,1357.53589,1613.71497,796.83893,949.0882,575.58875,198.16066,129.24857,97.91711,3189.58374,983.6524,304.37488,190.92661,185.45848,329.40512
42.0,1156.9259,931.78412,2146.07031,994.54614,1357.53589,1613.71497,796.83893,948.612,575.172,198.16066,129.24857,97.91711,3189.58374,982.62561,304.37488,190.92661,185.45848,329.40512
41.67,1156.9259,931.78412,2147.02246,994.54614,1357.53589,1613.71497,796.83893,949.56439,575.172,198.16066,129.24857,97.91711,3189.58374,983.6524,304.37488,190.92661,185.45848,329.40512
42.33,1156.9259,931.78412,2146.07031,994.54614,1357.53589,1613.71497,796.83893,948.13574,575.58875,197.77811,129.24857,97.91711,3186.24268,984.6792,304.37488,190.92661,184.5582,329.40512
41.67,1156.9259,931.78412,2147.02246,993.62866,1357.53589,1613.71497,796.83893,947.65955,575.172,198.16066,129.24857,97.91711,3186.24268,983.6524,303.52701,190.92661,185.45848,329.40512
42.0,1156.9259,930.84576,2147.02246,994.54614,1357.53589,1613.71497,796.33173,949.0882,575.58875,197.77811,129.24857,97.91711,3186.24268,983.6524,304.37488,190.0965,185.45848,329.40512
42.0,1156.9259,930.84576,2145.11841,993.62866,1357.53589,1613.01819,796.83893,948.13574,575.58875,197.77811,128.62718,97.91711,3185.12891,982.62561,303.52701,190.92661,185.45848,329.40512
41.67,1156.9259,930.84576,2146.07031,994.54614,1356.80518,1613.71497,796.83893,949.0882,575.58875,198.16066,128.62718,97.91711,3188.46997,983.6524,304.37488,190.92661,185.45848,329.40512
41.67,1156.9259,931.78412,2145.11841,994.54614,1356.80518,1613.71497,796.83893,948.13574,575.58875,198.16066,129.24857,97.91711,3188.46997,983.6524,304.37488,190.0965,185.45848,329.40512
42.0,1156.9259,931.78412,2145.11841,994.54614,1356.80518,1614.41174,796.83893,948.13574,575.58875,198.16066,129.24857,97.91711,3189.58374,983.6524,304.37488,190.92661,185.45848,329.40512
35.33,1183.21973,980.57843,2227.95239,1036.75012,1502.93396,1739.82996,858.21228,1021.47223,603.09698,239.85855,156.58961,111.22623,3344.38525,1195.16846,362.02805,219.98065,218.76898,413.23221
35.33,1183.21973,980.57843,2227.00024,1036.75012,1502.93396,1740.52673,858.21228,1021.94843,603.09698,239.85855,155.96823,111.22623,3346.61279,1195.16846,362.02805,219.98065,218.76898,413.23221
35.0,1184.86304,980.57843,2227.00024,1036.75012,1503.66455,1738.4364,858.21228,1021.94843,603.51379,239.85855,156.58961,111.22623,3342.15796,1200.30237,362.02805,219.98065,218.76898,414.41287
35.0,1184.86304,980.57843,2227.95239,1036.75012,1503.66455,1739.82996,858.21228,1021.47223,603.51379,239.85855,156.58961,111.22623,3346.61279,1198.24878,362.02805,219.98065,218.76898,413.23221
35.0,1183.21973,980.57843,2227.95239,1036.75012,1503.66455,1739.82996,858.21228,1021.47223,603.09698,240.2411,156.58961,111.22623,3346.61279,1193.11487,362.02805,219.98065,218.76898,414.41287
35.33,1184.04138,980.57843,2227.00024,1036.75012,1502.93396,1739.82996,857.70502,1021.47223,603.51379,239.85855,156.58961,111.22623,3344.38525,1197.22205,362.02805,219.98065,218.76898,413.23221
