Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.67,456.85428,371.58762,863.56958,400.02039,612.27936,729.51624,330.1987,453.82892,318.84534,124.3286,80.15897,62.743,1748.47986,631.4679,200.93828,122.02701,114.33605,212.51942
35.67,457.67596,371.58762,863.56958,400.02039,613.01001,728.81946,330.1987,453.82892,318.84534,124.3286,79.53758,62.743,1748.47986,632.49463,200.93828,122.02701,114.33605,212.51942
36.0,456.85428,371.58762,863.56958,400.02039,612.27936,729.51624,330.7059,453.82892,318.84534,124.3286,80.15897,62.743,1747.36621,633.52142,200.93828,121.19689,114.33605,212.51942
36.0,456.85428,371.58762,863.56958,400.02039,612.27936,729.51624,330.1987,453.82892,318.84534,124.3286,80.15897,61.79235,1747.36621,615.03943,200.09044,121.19689,114.33605,211.33876
35.67,457.67596,371.58762,863.56958,400.02039,613.74066,729.51624,330.1987,453.82892,318.84534,124.3286,80.15897,61.79235,1747.36621,614.01263,200.93828,121.19689,114.33605,212.51942
35.67,456.85428,371.58762,863.56958,400.02039,612.27936,730.21295,330.7059,454.30515,318.84534,124.3286,79.53758,62.743,1748.47986,631.4679,200.93828,122.02701,115.23634,211.33876
36.0,456.85428,371.58762,863.56958,400.02039,613.01001,728.81946,330.1987,453.82892,318.84534,124.3286,80.15897,61.79235,1748.47986,615.03943,200.93828,122.02701,114.33605,212.51942
36.0,457.67596,371.58762,863.56958,400.02039,612.27936,728.81946,330.1987,453.82892,318.84534,124.3286,79.53758,62.743,1747.36621,631.4679,200.93828,121.19689,115.23634,212.51942
35.67,457.67596,371.58762,862.61749,400.02039,612.27936,728.81946,330.1987,453.82892,318.42856,124.3286,80.15897,62.743,1747.36621,614.01263,200.93828,122.02701,114.33605,212.51942
35.67,456.85428,371.58762,863.56958,400.02039,612.27936,729.51624,330.1987,453.82892,318.42856,124.3286,80.15897,62.743,1749.59351,614.01263,200.93828,122.02701,114.33605,212.51942
42.0,450.28085,360.32739,863.56958,400.93787,575.74719,691.89075,315.48938,429.54218,303.00726,121.65075,77.67342,61.79235,1658.27161,593.47711,198.39476,120.36678,107.13378,198.35146
42.0,450.28085,360.32739,863.56958,400.93787,576.47784,691.89075,315.48938,429.54218,303.00726,121.2682,77.67342,61.79235,1659.38538,593.47711,198.39476,119.53666,107.13378,198.35146
42.33,450.28085,360.32739,863.56958,400.93787,575.74719,691.89075,315.99658,430.01837,303.00726,121.65075,77.67342,61.79235,1659.38538,593.47711,198.39476,119.53666,107.13378,199.53212
42.0,450.28085,361.26575,863.56958,400.93787,576.47784,691.89075,315.48938,429.54218,303.00726,121.65075,77.67342,61.79235,1660.49902,593.47711,198.39476,119.53666,107.13378,198.35146
42.0,451.10251,361.26575,864.52173,400.93787,577.2085,692.58752,314.98215,429.54218,303.00726,121.65075,77.67342,61.79235,1658.27161,593.47711,198.39476,120.36678,107.13378,198.35146
42.0,451.10251,361.26575,864.52173,400.93787,577.2085,692.58752,315.48938,429.54218,302.59048,121.65075,77.67342,61.79235,1658.27161,593.47711,198.39476,120.36678,107.13378,198.35146
42.33,450.28085,361.26575,864.52173,400.93787,576.47784,691.89075,315.48938,430.01837,303.00726,121.65075,77.67342,61.79235,1659.38538,593.47711,198.39476,119.53666,107.13378,198.35146
42.0,450.28085,361.26575,864.52173,400.93787,575.74719,691.89075,315.48938,429.06595,303.00726,121.65075,77.67342,61.79235,1657.15796,593.47711,198.39476,120.36678,107.13378,198.35146
42.0,451.10251,361.26575,865.47382,400.93787,577.2085,692.58752,315.48938,429.54218,302.59048,121.65075,77.67342,61.79235,1657.15796,593.47711,198.39476,120.36678,107.13378,198.35146
42.33,451.92419,361.26575,866.42596,400.93787,576.47784,692.58752,314.98215,429.54218,302.59048,121.2682,77.67342,61.79235,1659.38538,593.47711,198.39476,120.36678,107.13378,198.35146
35.67,396.04993,329.36176,778.83124,395.43301,615.93256,721.85175,334.76364,443.82849,305.09122,127.00644,81.40174,62.743,1676.09058,635.57495,204.32965,122.85712,114.33605,217.24208
35.67,395.22827,329.36176,779.78339,395.43301,616.66321,721.15497,334.76364,444.30472,305.09122,127.00644,81.40174,62.743,1676.09058,635.57495,205.17749,122.85712,114.33605,217.24208
36.33,395.22827,329.36176,778.83124,395.43301,615.93256,721.15497,335.27087,443.82849,305.09122,127.38899,81.40174,62.743,1676.09058,620.17334,205.17749,122.85712,114.33605,217.24208
35.67,395.22827,329.36176,779.78339,395.43301,615.93256,721.85175,334.76364,444.30472,305.50803,127.38899,81.40174,62.743,1677.20422,620.17334,205.17749,122.85712,115.23634,217.24208
