Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.67,608.86517,618.37433,1690.95874,741.3222,1296.16174,1668.06287,599.53125,689.55328,499.73276,172.52983,123.65608,82.70669,3356.63574,900.48346,298.43997,175.98453,186.35876,306.9725
35.67,609.68683,616.49762,1661.44312,742.23969,1273.51184,1615.10852,594.96631,690.02948,508.90216,169.46944,122.41331,82.70669,3230.78979,870.70691,289.11374,171.00383,180.05678,299.88852
36.0,599.005,609.9292,1638.59241,730.31244,1239.17163,1566.33472,575.18481,663.36169,508.06857,167.17415,119.92776,81.75603,3129.44482,836.8233,280.63531,167.68336,175.55536,293.9852
36.0,627.76379,621.18939,1634.78394,733.98236,1252.32324,1640.88892,560.47552,630.02692,491.39694,172.14729,120.54915,81.75603,3264.2002,869.68011,294.20078,175.1544,180.95706,304.61118
36.0,606.40009,608.05249,1661.44312,739.48724,1289.58606,1661.79187,571.63428,642.40839,479.72678,175.20769,123.65608,81.75603,3441.27563,905.61731,304.37488,179.30499,189.05962,314.05649
35.67,631.05054,635.26471,1716.66589,746.82709,1317.35046,1675.72729,561.99713,632.40796,490.56335,174.44258,124.27747,81.75603,3392.27368,903.56378,302.67917,178.47487,189.9599,314.05649
35.67,588.32312,596.79224,1677.62915,705.54053,1281.54895,1645.76624,540.69403,602.40668,477.22601,173.29494,123.65608,79.85474,3415.66089,912.80475,306.07056,180.96521,191.76047,318.77914
35.67,539.84399,555.50476,1577.65698,659.66669,1182.91199,1576.78625,554.89612,631.45557,472.64133,163.7312,115.57805,77.95343,3246.38135,889.1889,294.20078,175.98453,184.5582,316.41782
36.0,571.88953,590.22375,1603.36401,704.62311,1226.75061,1622.07617,587.35803,675.74316,488.06259,170.23454,119.92776,80.80538,3361.09058,917.93866,300.13565,177.64476,188.15933,317.59848
36.0,575.17627,571.45673,1547.18921,675.26379,1143.45728,1417.9231,621.84882,684.7912,517.23798,172.14729,118.68499,80.80538,3047.03247,848.1178,267.91769,161.04243,174.65508,293.9852
35.67,538.20062,529.23083,1443.40845,655.07928,1068.93164,1374.72351,610.69006,671.45728,510.15253,168.70435,114.33527,78.90408,3020.30396,839.90363,263.6785,160.21233,171.95422,289.26254
35.67,522.58868,535.79932,1480.54102,645.90448,1064.54773,1383.78149,608.15393,667.64758,502.6503,166.02649,113.0925,77.95343,3037.00928,834.76971,261.98282,160.21233,170.15366,288.08188
36.0,541.48737,545.18286,1497.6792,641.31708,1077.69934,1410.95544,591.92297,644.78949,497.6488,165.2614,113.0925,77.95343,3047.03247,825.52875,265.37418,162.70267,172.85451,290.44321
36.0,562.85107,553.62805,1514.81726,638.56464,1087.19775,1454.85181,603.08179,665.74274,493.06409,166.7916,113.0925,78.90408,3021.41772,845.03748,267.06985,166.02313,175.55536,302.24985
35.67,605.57843,593.03882,1565.27942,684.43854,1166.83789,1556.57996,578.73535,681.4577,488.89618,164.11374,116.82082,78.90408,3179.56055,870.70691,286.57022,173.49417,179.15649,316.41782
35.67,557.92096,574.27179,1609.07678,654.1618,1163.91528,1562.85083,525.47748,628.59833,490.98013,155.69766,112.47112,77.95343,2993.57568,894.32281,273.8526,171.00383,178.25621,311.69516
36.0,554.63428,587.40869,1581.46533,701.87067,1181.45081,1615.80518,559.96826,655.74231,509.73575,168.32179,117.44221,81.75603,3313.20239,945.66162,295.89645,180.1351,185.45848,319.95981
36.0,571.88953,608.99084,1624.31067,744.07465,1267.66675,1669.45642,581.27142,681.4577,527.65778,172.91238,123.65608,84.60799,3396.72827,932.31354,302.67917,180.96521,188.15933,319.95981
35.67,586.67981,620.25104,1631.92761,758.75427,1284.47156,1670.84998,568.591,662.40924,522.65625,172.52983,123.65608,84.60799,3375.56836,919.99225,300.98349,178.47487,186.35876,316.41782
35.33,595.71826,624.00446,1617.64587,741.3222,1264.74414,1592.81189,588.8797,660.98065,511.40292,172.52983,121.79192,82.70669,3224.10767,866.59979,284.87451,168.51349,180.05678,298.70786
