Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
31.0,440.42068,455.10101,1181.57654,588.10339,967.37219,1250.69873,522.4342,626.69348,489.72977,154.93256,110.60695,77.00278,2777.52148,864.54626,260.28714,160.21233,171.95422,308.15317
31.0,445.35077,458.8544,1185.38501,590.85583,973.94794,1259.75671,519.39087,623.35999,489.31299,154.55,111.22834,77.00278,2776.40771,862.49268,261.13498,160.21233,171.95422,308.15317
31.33,445.35077,457.91608,1189.19348,592.6908,979.06244,1260.45349,517.8692,621.45514,488.06259,154.55,111.22834,77.00278,2777.52148,864.54626,261.98282,161.04243,171.95422,308.15317
30.67,442.88571,457.91608,1171.10315,594.5257,976.87054,1263.2406,519.89807,623.35999,489.72977,154.93256,111.84972,77.00278,2790.88574,864.54626,262.83066,161.04243,172.85451,309.33383
31.0,433.02554,449.47089,1160.62988,595.44318,974.67859,1245.12463,524.46307,629.07452,490.14655,156.0802,111.84972,77.95343,2820.95508,866.59979,262.83066,161.04243,172.85451,309.33383
31.0,465.89276,472.92972,1199.66675,555.99164,913.30457,1182.41553,506.20322,602.88293,459.30402,146.13391,101.90752,74.15083,2555.89893,801.91284,241.63464,150.25093,159.35025,296.34653
31.0,438.77731,459.79276,1122.54529,539.47705,930.10931,1193.56372,522.4342,615.2644,485.97864,149.19432,107.50002,74.15083,2580.3999,831.68939,240.7868,150.25093,165.65224,295.16586
31.0,479.03964,484.18994,1250.12891,534.88965,923.53357,1298.07898,494.03,572.4054,428.04465,143.45607,97.55782,71.29887,2598.21875,777.2702,239.09113,149.42082,158.44997,279.81723
30.67,525.05377,521.72406,1391.99426,572.50623,1012.67206,1378.90405,589.3869,669.55243,489.31299,158.75806,108.1214,76.05212,2826.52344,821.42163,249.26521,154.40152,169.25337,292.80453
31.33,481.5047,485.1283,1300.59106,571.58875,1002.44305,1301.56287,585.83636,676.21936,485.97864,159.14061,108.74279,76.05212,2928.98218,813.2074,253.50441,155.23163,172.85451,292.80453
31.0,489.7215,505.77203,1334.86719,566.08392,1006.09625,1362.87842,610.1828,706.22064,488.4794,154.93256,108.1214,75.10148,2819.84131,837.85004,250.11305,154.40152,166.55252,292.80453
31.33,473.2879,498.26523,1280.59656,586.26843,1012.67206,1318.28528,601.05292,701.45856,494.73126,157.6104,110.60695,77.00278,2900.02637,821.42163,256.04794,156.89186,169.25337,298.70786
31.0,475.75293,481.37488,1217.75696,567.0014,942.53027,1293.20166,586.34363,674.31451,504.31747,156.46275,106.87862,76.05212,2760.81616,817.31451,245.026,151.91116,165.65224,286.90121
31.0,517.65863,520.78571,1393.89844,586.26843,1014.86401,1390.05237,536.12903,636.69391,490.56335,154.16747,106.25724,77.00278,2849.91089,864.54626,256.04794,161.87256,171.05394,296.34653
31.33,519.302,517.03229,1394.85059,585.35095,1020.70917,1389.35559,534.60742,628.59833,491.39694,156.0802,107.50002,77.00278,2866.61597,844.01074,258.59146,161.87256,171.95422,296.34653
31.33,516.83698,512.34052,1393.89844,578.92859,1016.32532,1368.45251,522.4342,613.35956,487.229,154.93256,106.87862,76.05212,2852.13818,865.57306,257.74362,161.04243,171.05394,295.16586
30.67,492.18655,475.74475,1350.10107,547.73437,984.17694,1301.56287,498.08774,595.26355,478.89319,149.95941,105.01447,74.15083,2764.15723,856.33203,252.65657,159.38222,169.25337,296.34653
31.0,543.13074,541.42944,1352.00537,638.56464,1050.66553,1417.9231,594.45911,719.07837,500.98312,156.46275,108.74279,77.00278,2878.86646,815.26099,254.35225,156.89186,165.65224,291.62387
31.33,575.17627,573.33344,1416.74927,660.58411,1107.65576,1445.09705,566.56213,694.31537,515.98761,156.84531,111.84972,78.90408,2865.50244,844.01074,260.28714,158.55209,167.4528,293.9852
31.0,557.92096,544.24451,1367.23914,658.74921,1098.15735,1396.32324,608.66119,729.55499,537.24396,165.2614,114.33527,78.90408,2966.84741,827.58228,264.52634,161.04243,171.05394,298.70786
