Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
36.0,578.46295,567.70331,1485.30164,722.97266,1137.61218,1408.86511,498.59494,607.64502,529.7417,166.02649,112.47112,81.75603,3143.92261,960.0365,280.63531,174.3243,180.05678,321.14047
35.67,618.72534,623.0661,1604.31616,741.3222,1231.13452,1546.12842,427.07727,547.64246,515.5708,147.66412,109.98557,78.90408,2956.82422,921.01898,269.6134,171.83394,174.65508,311.69516
36.0,555.45593,554.56641,1309.16003,767.92908,1098.88806,1390.74915,568.591,693.36298,546.8302,167.93924,109.36417,84.60799,3128.33105,871.7337,268.76553,167.68336,166.55252,308.15317
36.0,513.55023,514.21722,1320.58545,756.00183,1141.99597,1376.81372,609.6756,732.88849,609.34888,182.85867,122.41331,87.45995,3442.3894,939.50098,288.2659,177.64476,190.86018,325.86313
36.33,566.95947,533.92261,1301.54321,760.58923,1131.76697,1340.58179,616.77667,747.651,584.34137,171.38219,114.95667,84.60799,3192.92456,907.6709,266.22202,167.68336,183.65791,314.05649
36.0,558.74268,573.33344,1431.98315,775.26886,1152.22498,1452.76147,569.09821,696.69647,549.33093,169.08688,110.60695,84.60799,3185.12891,906.6441,273.00476,171.00383,172.85451,311.69516
35.67,592.43152,586.47034,1554.80615,745.90961,1203.37012,1495.2644,526.99915,647.17053,542.66223,162.96609,114.33527,82.70669,3106.05762,942.5813,275.54828,171.83394,178.25621,315.23715
36.0,580.92804,551.75134,1393.89844,753.24939,1143.45728,1343.3689,643.65918,764.79462,569.75372,175.20769,115.57805,83.65734,3275.33716,918.96545,268.76553,171.00383,186.35876,315.23715
36.33,605.57843,629.63458,1593.8429,757.83679,1207.75391,1511.29004,409.32465,519.06982,468.8902,145.36882,103.77169,79.85474,2897.79907,922.04578,266.22202,167.68336,171.05394,298.70786
36.33,531.6272,538.61438,1329.15454,746.82709,1128.11377,1384.47827,555.91052,678.12421,571.42084,169.46944,116.19944,84.60799,3192.92456,931.28674,272.15692,170.17371,182.75763,310.5145
36.0,578.46295,563.01154,1504.34399,719.30273,1158.80078,1402.59424,577.21368,689.07709,560.58429,170.23454,114.33527,81.75603,3181.78784,916.91187,269.6134,171.00383,181.85735,312.87582
36.0,594.07489,573.33344,1374.85608,757.83679,1126.65247,1353.12366,573.66315,690.50574,548.08057,167.55669,110.60695,82.70669,3116.08057,907.6709,263.6785,167.68336,180.05678,311.69516
36.0,574.35455,567.70331,1283.453,783.52618,1169.7605,1361.48486,494.5372,619.0741,542.24548,161.81845,113.0925,83.65734,3091.57959,902.53699,267.91769,166.85326,181.85735,301.06918
35.67,531.6272,540.49109,1350.10107,719.30273,1098.88806,1296.68542,487.43616,584.78693,535.99359,157.22786,107.50002,79.85474,2934.55054,907.6709,256.89578,163.53279,171.05394,298.70786
35.67,522.58868,529.23083,1342.48413,711.96289,1077.69934,1312.71106,506.71042,610.97852,518.90515,161.81845,106.25724,79.85474,3030.32715,913.83154,263.6785,166.85326,173.75479,305.79184
36.67,556.27759,570.51837,1448.16907,768.84656,1197.5249,1444.40027,543.7373,660.98065,584.34137,172.91238,119.92776,85.55864,3233.01709,943.60809,281.48315,173.49417,183.65791,310.5145
36.67,563.67273,551.75134,1364.38281,722.05518,1106.92505,1345.45923,552.36005,661.45685,559.33392,172.14729,114.95667,81.75603,3208.51611,960.0365,273.00476,171.00383,184.5582,317.59848
36.0,585.03644,554.56641,1399.61121,708.29297,1093.04285,1323.85938,509.75372,618.12164,525.57379,161.05334,106.25724,78.90408,2992.46191,934.36713,258.59146,163.53279,173.75479,306.9725
36.33,598.18329,565.8266,1394.85059,748.66205,1131.03638,1341.97534,519.39087,632.88422,533.49286,160.28825,106.87862,80.80538,2995.80298,932.31354,258.59146,162.70267,172.85451,306.9725
36.0,562.85107,534.86096,1279.64453,744.07465,1125.19116,1313.40784,508.73929,634.78906,560.16748,162.58354,109.98557,81.75603,2999.14404,917.93866,256.89578,161.04243,172.85451,302.24985
