Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
36.0,686.10309,684.99738,1915.6582,904.6333,1340.00037,1539.16077,724.30682,818.60645,613.09998,177.50298,113.71389,85.55864,3380.02319,952.84906,276.39612,171.83394,180.95706,304.61118
36.33,681.99469,663.41528,1735.70825,922.06537,1318.81177,1563.54761,745.60992,847.17908,621.43579,179.79828,111.22834,85.55864,3397.84204,957.98297,272.15692,169.3436,180.05678,303.43051
36.33,644.19739,634.32635,1663.34741,900.96338,1273.51184,1486.90308,696.40985,803.84387,615.60071,175.97278,109.36417,83.65734,3425.68408,933.34033,273.00476,168.51349,180.95706,292.80453
36.33,642.55408,655.90845,1792.83521,917.47797,1326.84888,1523.13513,727.8573,836.70245,653.11194,182.85867,116.82082,87.45995,3384.47778,893.29602,266.22202,163.53279,178.25621,292.80453
35.67,621.19037,629.63458,1775.69714,847.74963,1248.66992,1435.34229,644.16638,770.0329,648.52722,165.2614,113.0925,83.65734,3002.48511,876.86755,249.26521,156.89186,167.4528,277.4559
36.33,647.48413,644.64825,1728.09131,856.00696,1247.20862,1466.6969,705.03253,803.36768,631.02203,179.03317,114.95667,84.60799,3337.70337,951.82233,273.8526,169.3436,183.65791,308.15317
36.33,682.81641,669.04541,1761.41541,900.96338,1263.28284,1509.19971,745.60992,850.98877,621.43579,178.26808,111.84972,86.50929,3299.83813,951.82233,268.76553,167.68336,177.35593,305.79184
37.0,663.09607,651.21667,1805.21277,891.78857,1306.39087,1528.01245,723.79956,812.41571,615.18396,179.03317,113.71389,84.60799,3384.47778,953.87585,275.54828,169.3436,178.25621,304.61118
35.67,663.91772,639.01813,1717.61804,886.28369,1293.96985,1488.99341,696.40985,799.08179,616.43433,178.26808,112.47112,85.55864,3366.65894,982.62561,277.24396,172.66406,181.85735,309.33383
36.0,687.74646,684.05902,1827.11145,905.55078,1326.11816,1560.06384,675.61389,779.08093,607.6817,176.35533,109.98557,83.65734,3385.59155,942.5813,273.8526,170.17371,180.05678,296.34653
36.0,657.3443,658.72351,1906.13708,964.26935,1424.75513,1524.52856,721.77069,823.84473,621.43579,184.00632,116.19944,88.4106,3508.09644,959.00977,273.00476,166.85326,183.65791,303.43051
36.67,544.77411,546.12122,1470.06775,829.40009,1157.33948,1328.04004,733.43671,834.79761,632.2724,179.79828,110.60695,83.65734,3322.11182,926.15289,263.6785,164.3629,180.05678,308.15317
36.0,649.94916,624.00446,1650.01782,891.78857,1285.20215,1453.45825,719.23462,813.8443,611.84961,180.18083,113.71389,85.55864,3423.45679,916.91187,273.00476,166.85326,181.85735,303.43051
36.33,667.20447,674.67554,1663.34741,923.90033,1305.66016,1555.88318,736.48004,839.0835,628.10449,183.24123,112.47112,85.55864,3420.11572,939.50098,267.06985,165.19302,178.25621,297.52719
36.33,725.54376,709.39453,1969.92883,942.24988,1407.2196,1571.90881,602.06732,701.93475,582.67419,160.28825,111.22834,84.60799,3109.39868,909.72443,262.83066,162.70267,173.75479,289.26254
36.0,662.27435,655.90845,1739.51672,897.29346,1277.16504,1513.38037,723.79956,823.36853,624.35333,177.50298,113.0925,85.55864,3362.20435,981.59882,276.39612,172.66406,182.75763,315.23715
36.0,718.14862,687.81244,1833.77625,915.64301,1346.57617,1587.93457,689.81598,790.03375,608.93207,176.35533,113.0925,86.50929,3401.18311,961.06329,282.33099,175.1544,184.5582,316.41782
36.67,729.65216,723.46985,1950.8866,929.40515,1395.5293,1633.92126,695.39539,789.08136,605.59772,177.12042,113.71389,85.55864,3339.93066,964.14362,276.39612,170.17371,179.15649,296.34653
36.0,679.52966,684.05902,1869.00452,891.78857,1295.43115,1517.56091,585.32916,700.98236,582.67419,159.9057,108.1214,83.65734,2993.57568,841.95715,250.11305,155.23163,162.0511,276.27524
36.33,684.45972,678.42889,1890.9032,920.23041,1349.49878,1583.05713,697.42426,799.55798,620.60223,176.35533,114.33527,84.60799,3315.42969,936.42065,271.30908,168.51349,178.25621,299.88852
