Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
36.67,463.42773,489.82004,1281.54871,567.91888,934.49323,1273.69214,380.41324,494.30685,400.95322,125.0937,92.58672,72.24952,2340.9585,749.54724,234.85191,146.93048,139.54401,262.1073
36.0,536.55725,563.94989,1489.11011,653.24432,1076.23804,1401.20068,490.47946,620.97894,490.98013,140.77823,106.25724,77.00278,2575.94507,838.87683,248.41737,154.40152,156.6494,276.27524
36.33,507.79846,522.66241,1382.47302,658.74921,1089.38965,1451.36792,473.23407,600.97809,471.39096,149.57686,109.36417,78.90408,2937.8916,867.62659,273.8526,168.51349,169.25337,315.23715
36.0,530.80554,563.94989,1499.58337,620.21509,1063.08643,1396.32324,443.30823,562.40497,477.22601,139.24803,104.39307,76.05212,2541.42114,826.55548,244.17816,152.74129,154.84883,279.81723
36.33,501.22504,518.909,1393.89844,584.43347,972.48669,1308.53052,439.25049,547.16626,446.38348,139.63057,99.42198,74.15083,2575.94507,814.23419,244.17816,153.5714,152.14798,277.4559
36.0,483.14804,522.66241,1411.98865,578.01111,1015.59467,1364.27197,387.00705,507.64075,433.87973,126.62389,98.17921,72.24952,2377.70996,785.48444,239.93896,150.25093,147.64656,262.1073
36.33,552.16919,574.27179,1505.29602,669.75891,1105.46387,1438.12939,502.14548,630.97937,500.98312,147.28157,108.74279,78.90408,2699.56372,845.03748,255.20009,156.89186,157.54968,278.63657
36.67,558.74268,572.39508,1449.12122,692.69586,1145.64917,1472.96777,483.88562,601.45428,477.22601,151.10706,109.98557,77.95343,2903.36743,860.43915,267.06985,163.53279,168.35309,299.88852
36.0,533.27057,548.93628,1450.07336,639.48212,1063.08643,1335.00769,502.14548,605.26398,485.97864,150.34196,106.25724,77.95343,2754.13428,817.31451,250.96089,155.23163,159.35025,285.72055
36.33,514.37189,542.3678,1432.93518,659.66669,1067.47034,1401.89746,540.18677,654.31366,515.15405,156.0802,111.22834,80.80538,2832.0918,871.7337,261.98282,161.04243,164.75195,293.9852
36.67,556.27759,571.45673,1478.63684,688.10846,1147.84119,1456.94214,526.99915,631.93176,487.229,157.99295,111.22834,77.95343,3032.55444,875.84082,270.46124,165.19302,173.75479,302.24985
36.0,539.02234,560.19647,1450.07336,647.73944,1105.46387,1356.60754,483.88562,601.45428,502.23349,148.04666,111.22834,78.90408,2661.69873,826.55548,252.65657,156.06175,161.15082,286.90121
36.0,526.69714,551.75134,1347.24475,633.05981,1001.7124,1376.81372,494.03,614.31195,468.47342,143.45607,103.1503,77.00278,2642.76611,808.07355,250.96089,157.72198,158.44997,286.90121
36.67,555.45593,566.76495,1509.10449,672.51135,1126.65247,1436.03906,509.75372,631.45557,493.4809,150.72452,110.60695,77.95343,2820.95508,859.41235,261.13498,159.38222,162.95139,284.53989
36.67,533.27057,552.6897,1367.23914,707.37549,1138.34277,1495.2644,523.95581,649.07538,501.39993,162.201,114.95667,82.70669,3120.5354,893.29602,281.48315,170.17371,179.15649,316.41782
35.67,534.91394,555.50476,1430.07886,673.42883,1117.15405,1447.18738,523.44861,638.1225,516.82123,157.6104,113.0925,81.75603,2881.09399,866.59979,266.22202,161.04243,167.4528,297.52719
36.0,535.7356,558.31976,1425.31824,654.1618,1094.50415,1417.22632,507.21765,614.31195,508.90216,152.25471,111.22834,78.90408,2769.72583,832.71619,256.89578,156.89186,164.75195,289.26254
36.33,516.01526,533.92261,1360.57434,645.90448,1053.58813,1316.19495,539.17236,635.74146,508.48538,156.46275,109.36417,77.95343,2841.00122,833.74292,250.96089,154.40152,164.75195,284.53989
36.67,464.24942,483.25159,854.04846,620.21509,849.73853,1250.69873,549.31671,645.74188,529.32495,157.6104,108.74279,77.95343,2882.20752,772.13635,247.56953,151.91116,163.85167,283.35922
36.33,539.02234,552.6897,1457.69031,672.51135,1048.47363,1404.68445,560.47552,672.88593,508.90216,160.67081,109.98557,79.85474,2952.36938,861.46594,262.83066,161.04243,165.65224,295.16586
36.67,831.54053,864.22272,2162.25635,790.86603,1431.33081,1953.04102,885.09479,1004.32867,611.01605,227.23442,173.98846,115.02884,3534.82495,1063.74097,351.85394,220.81078,230.47267,421.49686
36.67,831.54053,865.16107,2162.25635,790.86603,1432.79211,1957.22156,885.60199,1004.80487,611.4328,227.61697,173.98846,115.02884,3538.16602,1064.76782,351.85394,220.81078,230.47267,421.49686
37.0,831.54053,865.16107,2163.2085,789.94855,1432.79211,1955.13135,885.60199,1004.80487,611.01605,227.23442,173.98846,115.02884,3537.05225,1034.99121,351.85394,219.98065,231.37296,421.49686
36.67,831.54053,865.16107,2162.25635,789.94855,1433.52283,1957.22156,885.60199,1004.80487,611.01605,227.23442,173.98846,115.02884,3539.27954,1033.96448,351.85394,219.98065,230.47267,421.49686
36.33,831.54053,865.16107,2163.2085,789.94855,1433.52283,1957.91833,885.60199,1005.28107,611.01605,227.23442,173.98846,115.02884,3542.62061,1064.76782,351.85394,220.81078,230.47267,421.49686
36.67,831.54053,865.16107,2161.3042,789.94855,1432.79211,1956.52478,885.60199,1004.80487,611.01605,227.23442,173.98846,115.02884,3537.05225,1061.6875,351.85394,219.98065,231.37296,421.49686
37.0,831.54053,865.16107,2163.2085,789.94855,1432.79211,1956.52478,885.60199,1004.80487,611.01605,227.23442,173.98846,115.02884,3537.05225,1036.01807,351.85394,219.98065,230.47267,421.49686
