Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
36.0,752.65924,761.94232,1955.64709,897.29346,1333.42468,1659.00488,728.36456,838.13104,569.75372,161.4359,102.52892,82.70669,3135.01318,947.71521,263.6785,167.68336,167.4528,270.37195
36.0,702.53674,735.66846,1941.36536,903.71582,1397.72131,1742.61707,802.41833,900.99091,590.17645,170.99963,108.1214,85.55864,3341.04419,949.76874,273.8526,170.17371,173.75479,271.55261
35.67,643.37573,681.24396,1834.72839,836.73993,1298.35376,1599.77954,744.59552,850.51257,602.68018,165.2614,105.63585,83.65734,3081.55664,899.45667,256.04794,160.21233,163.85167,263.28796
36.0,703.3584,732.85339,1966.12048,865.1817,1339.26978,1688.26917,724.81403,827.65442,593.09399,163.34865,103.1503,82.70669,3071.53345,927.17969,260.28714,166.85326,168.35309,270.37195
36.0,664.73944,689.68915,1816.63818,814.72046,1249.40063,1508.50293,669.52728,790.51001,563.91864,149.57686,96.93643,79.85474,2755.2478,872.7605,239.93896,151.08105,148.54684,238.49402
36.0,622.01202,670.92212,1833.77625,837.65741,1309.31335,1587.23779,767.92749,880.99005,582.25745,165.2614,103.1503,83.65734,3092.69336,898.42987,258.59146,159.38222,158.44997,253.84265
36.0,623.6554,662.47693,1740.46887,805.54565,1229.67322,1558.67029,720.75629,835.75,608.51526,165.64395,104.39307,83.65734,3082.67017,907.6709,258.59146,163.53279,162.95139,259.74597
36.0,640.08899,663.41528,1764.27173,804.62817,1250.13123,1513.38037,722.27795,839.55969,624.77014,166.40904,106.87862,82.70669,3117.19434,905.61731,257.74362,161.87256,162.95139,262.1073
36.0,649.1275,676.55219,1762.36755,813.80298,1224.55872,1500.14172,646.19525,775.74744,583.92462,151.48961,98.80059,80.80538,2891.11694,897.40314,249.26521,157.72198,152.14798,238.49402
36.33,644.19739,679.36725,1811.87756,825.73016,1252.32324,1577.48303,732.4223,847.65527,585.59174,165.2614,101.28614,83.65734,3146.15015,851.19818,261.13498,162.70267,148.54684,256.20398
36.33,607.2218,646.5249,1726.18713,782.6087,1202.6394,1469.48389,605.61786,727.17395,568.08655,146.13391,95.07227,77.95343,2688.427,847.09106,239.09113,151.08105,143.14514,231.41003
36.33,625.29877,649.33997,1721.42651,789.94855,1219.44421,1532.19312,744.08826,841.94073,625.6037,171.38219,106.87862,82.70669,3111.62598,948.742,258.59146,163.53279,168.35309,263.28796
36.0,651.59253,667.1687,1750.94214,808.2981,1220.90552,1471.57422,733.43671,830.03546,603.9306,168.70435,104.39307,81.75603,3137.24072,941.55457,256.04794,161.87256,165.65224,264.46863
36.33,665.5611,685.93573,1769.03235,810.13306,1269.12793,1582.36035,786.69458,889.08563,613.51678,172.91238,110.60695,83.65734,3245.26782,922.04578,257.74362,162.70267,170.15366,273.91391
36.67,631.87219,662.47693,1692.86304,794.53589,1219.44421,1509.19971,714.16248,836.2262,627.68768,163.7312,109.98557,82.70669,2989.12109,901.51025,247.56953,156.06175,169.25337,249.12
36.33,600.64838,629.63458,1680.48547,792.70099,1210.67651,1521.0448,736.48004,838.13104,598.51227,166.7916,103.1503,81.75603,3121.64917,921.01898,257.74362,164.3629,164.75195,264.46863
36.33,651.59253,666.23035,1742.37305,818.39032,1229.67322,1498.74817,721.77069,826.22577,594.34436,162.96609,102.52892,80.80538,3099.37549,954.90265,254.35225,161.87256,165.65224,262.1073
36.0,686.10309,684.99738,1761.41541,823.8952,1248.66992,1563.54761,800.38947,904.8006,613.09998,174.06003,108.74279,84.60799,3246.38135,883.02826,256.04794,161.87256,166.55252,275.09457
36.33,624.47705,660.60022,1683.3418,796.37085,1201.90881,1525.92212,769.44916,873.84686,632.2724,171.76474,109.36417,82.70669,3071.53345,875.84082,248.41737,156.89186,164.75195,255.02332
36.33,601.47003,647.46326,1724.28284,790.86603,1229.67322,1500.14172,740.03052,846.22662,615.18396,167.17415,104.39307,81.75603,2990.23462,898.42987,247.56953,156.89186,158.44997,255.02332
