Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
36.0,470.82285,471.99136,1290.1178,589.93835,962.98828,1174.0542,530.54968,629.55072,500.56635,153.01981,103.77169,77.00278,2670.60815,830.6626,242.48248,147.76059,158.44997,276.27524
36.0,480.68301,450.40924,1159.67786,562.414,924.26422,1191.47351,558.44666,668.12378,493.4809,148.81177,103.1503,75.10148,2585.96826,798.83252,232.3084,145.27025,154.84883,279.81723
36.0,484.79141,452.28595,1144.44397,557.8266,913.30457,1167.08655,559.96826,663.83789,498.48239,149.19432,101.28614,73.20017,2604.90088,799.85931,230.61272,144.44012,153.94855,272.73325
36.0,480.68301,468.23795,1132.06641,589.02087,939.60773,1221.43445,506.20322,621.93134,506.81821,147.66412,107.50002,77.95343,2592.65039,817.31451,236.54759,147.76059,156.6494,276.27524
35.67,482.32639,477.62146,1135.87488,610.12286,949.10608,1254.87939,598.51685,683.36255,526.40741,159.52315,105.63585,77.00278,2829.8645,846.06427,245.87384,151.91116,163.85167,284.53989
36.0,473.2879,451.3476,1145.39612,559.66156,928.64807,1211.67969,530.04242,629.07452,491.81372,148.81177,103.1503,74.15083,2577.05884,808.07355,233.15623,146.10036,156.6494,283.35922
36.0,483.14804,453.2243,1127.30591,565.16644,914.76581,1144.79004,574.67761,683.83875,503.06708,152.25471,101.28614,74.15083,2642.76611,778.297,230.61272,143.61002,153.04826,272.73325
35.67,437.13394,418.50525,1065.41833,544.98193,881.88684,1064.66162,519.89807,629.07452,495.56485,145.36882,100.04337,73.20017,2451.21289,791.64508,220.43861,138.62932,152.14798,270.37195
35.67,479.03964,463.54617,1128.25793,558.74408,927.18677,1204.01526,501.13104,599.54944,485.56186,145.36882,100.04337,75.10148,2529.17065,817.31451,235.69975,147.76059,153.04826,278.63657
36.33,398.51498,390.35468,989.24896,573.42371,917.68842,1131.55139,534.10016,621.45514,505.15103,151.87216,106.25724,77.95343,2633.85669,803.96643,240.7868,146.93048,154.84883,277.4559
36.33,433.84723,418.50525,1004.48285,561.49652,894.3078,1133.64172,499.10217,615.7406,505.98462,142.30843,100.66475,74.15083,2424.48437,801.91284,224.67783,141.94978,147.64656,268.01062
35.67,506.15512,489.82004,1216.80481,566.08392,938.87708,1170.57043,494.03,604.31152,501.81671,139.24803,100.04337,72.24952,2398.86987,777.2702,225.52567,141.11966,147.64656,263.28796
36.67,586.67981,568.64166,1523.38623,639.48212,1060.16394,1379.60083,561.48993,682.88635,527.24097,157.6104,105.63585,77.95343,2828.75073,834.76971,250.11305,155.23163,159.35025,278.63657
36.0,570.24615,562.07318,1476.73254,650.49188,1073.31555,1383.78149,629.45709,716.22107,555.16602,167.93924,110.60695,78.90408,2946.80103,848.1178,251.80873,156.06175,166.55252,280.99789
36.33,463.42773,436.33395,1200.61877,531.21973,895.03845,1153.15125,460.04642,563.83362,445.13309,128.15408,90.72256,69.39757,2179.47461,712.58325,211.11237,134.47874,132.34174,236.13269
35.67,457.67596,458.8544,1240.60767,561.49652,915.49646,1206.80237,560.47552,674.31451,487.64581,145.75137,99.42198,73.20017,2520.26099,726.95813,229.76486,142.77989,139.54401,253.84265
36.0,502.04669,498.26523,1199.66675,629.38989,935.95447,1230.49243,385.48541,499.54517,436.38049,122.41585,91.34394,69.39757,2384.39185,786.51123,231.46056,144.44012,140.44429,250.30066
36.0,489.7215,490.75839,1311.06433,681.68616,1066.00903,1308.53052,549.31671,663.83789,509.31897,151.87216,100.04337,75.10148,2817.61401,878.92114,250.11305,155.23163,156.6494,276.27524
36.0,459.31934,456.03937,1164.43835,680.76868,1008.28821,1279.96301,573.15594,680.50531,513.90369,154.55,105.01447,76.05212,2861.04761,858.38562,245.87384,151.91116,155.74911,260.92664
35.67,368.11279,356.57397,868.3302,599.1131,861.42883,1040.97156,618.29834,708.12549,526.82422,157.22786,98.80059,74.15083,2895.57178,771.10956,231.46056,141.11966,154.84883,250.30066
