Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
36.0,628.58551,640.89484,1699.52783,833.07001,1256.70703,1511.98682,698.43872,801.93903,598.09552,172.14729,111.84972,83.65734,3341.04419,912.80475,264.52634,165.19302,180.05678,301.06918
36.0,626.12042,626.81952,1657.63464,813.80298,1219.44421,1454.85181,627.93542,734.79333,562.66821,158.3755,106.25724,79.85474,3106.05762,888.16211,254.35225,158.55209,171.05394,292.80453
36.33,698.42828,690.6275,1749.03784,877.10895,1315.15857,1590.02478,684.23663,802.41528,595.59473,171.38219,111.84972,85.55864,3412.31982,970.30432,278.93964,171.83394,177.35593,292.80453
35.67,650.77087,658.72351,1759.51111,851.41956,1299.81506,1511.98682,707.5686,813.3681,638.94104,173.67749,113.71389,85.55864,3383.36426,914.85834,273.8526,166.85326,176.45564,279.81723
36.0,602.29169,628.69623,1679.53333,784.44366,1191.67981,1469.48389,691.84485,773.84259,615.60071,166.7916,108.1214,80.80538,3178.44678,869.68011,255.20009,158.55209,172.85451,275.09457
36.0,628.58551,643.7099,1710.0011,808.2981,1232.59583,1541.2511,725.82843,813.3681,616.85114,181.32848,113.0925,84.60799,3491.39136,951.82233,280.63531,174.3243,182.75763,298.70786
36.33,632.69391,623.0661,1665.25159,782.6087,1228.94263,1461.81946,696.91705,787.17651,601.01306,177.12042,114.95667,83.65734,3312.08862,962.09009,276.39612,171.83394,179.15649,303.43051
35.67,677.88629,670.92212,1718.57019,813.80298,1266.93604,1545.43164,722.78516,808.12976,620.60223,184.00632,119.92776,87.45995,3407.86523,979.54529,282.33099,175.1544,186.35876,311.69516
36.33,617.90363,605.23743,1655.73047,706.45801,1163.91528,1365.66553,530.54968,642.40839,550.5813,150.34196,107.50002,77.95343,2774.18042,915.88513,245.87384,156.06175,163.85167,275.09457
36.0,638.44562,661.53857,1604.31616,832.15253,1228.94263,1530.10278,618.80554,721.45941,608.93207,158.75806,111.84972,82.70669,3091.57959,896.37634,256.04794,157.72198,171.95422,271.55261
36.0,764.98444,747.867,1964.21619,934.91003,1449.59692,1714.04956,717.71295,811.46326,608.93207,179.03317,118.68499,87.45995,3481.36816,918.96545,278.93964,171.00383,181.85735,304.61118
36.0,787.1698,767.57239,1985.16272,928.48767,1430.60022,1729.37842,443.30823,593.3587,525.9906,137.33528,106.25724,81.75603,3021.41772,927.17969,265.37418,168.51349,173.75479,288.08188
36.0,763.34106,745.05194,1962.31201,932.15759,1413.06482,1725.89465,483.37842,631.45557,497.23199,144.98627,103.1503,83.65734,3152.83203,934.36713,272.15692,170.17371,165.65224,289.26254
36.0,741.97736,726.28491,1929.94006,921.14789,1407.2196,1691.05615,489.97226,631.45557,534.74323,147.28157,107.50002,83.65734,3191.81104,949.76874,273.8526,171.00383,171.95422,290.44321
36.33,833.1839,821.99689,2130.83667,919.31293,1353.15198,1737.04285,357.58844,468.11523,315.51102,123.5635,80.78036,76.05212,2745.22485,834.76971,256.89578,164.3629,135.94287,268.01062
36.33,799.495,791.03125,1884.2384,1110.14832,1578.19019,1827.62268,812.05548,929.08734,704.37726,203.51634,134.21967,98.86777,4133.98535,992.89337,312.00543,185.1158,203.46416,318.77914
36.0,852.90424,846.39404,2117.50684,1130.33289,1647.60144,1937.71216,790.75232,909.08649,696.04144,200.8385,134.84106,98.86777,4106.14355,987.75952,317.09247,189.26637,204.36444,321.14047
36.33,820.8587,821.99689,2150.83105,1047.75989,1611.06921,1850.61609,638.58704,763.36597,635.18994,173.29494,126.14163,92.2132,3610.55518,1004.18793,295.89645,180.1351,195.3616,303.43051
36.0,842.22235,837.94885,2176.53809,1073.44922,1608.14661,1907.05432,677.64276,800.98663,622.26941,181.32848,123.65608,94.11451,3777.60742,975.43817,305.22272,185.1158,192.66075,314.05649
36.33,822.50208,819.18182,2134.64502,1063.35693,1604.49341,1832.50012,688.29437,811.93945,649.36084,180.56337,126.14163,94.11451,3695.19507,988.78625,295.04861,178.47487,193.56104,302.24985
