Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.67,631.87219,618.37433,1617.64587,807.38062,1263.28284,1564.94116,558.44666,678.60046,558.08356,175.20769,121.79192,86.50929,3376.68213,993.92017,301.83133,185.1158,191.76047,338.8504
35.67,645.0191,630.57294,1640.49658,820.22528,1280.08765,1591.41833,559.96826,682.4101,565.16901,175.97278,123.0347,87.45995,3387.81885,1001.1076,303.52701,185.94591,193.56104,340.03107
36.0,640.91071,626.81952,1636.68811,811.96802,1285.20215,1589.328,556.41779,676.21936,566.41937,175.20769,123.65608,87.45995,3395.61475,1001.1076,304.37488,186.77603,194.46132,341.21173
36.0,654.05756,637.14142,1657.63464,812.8855,1277.89575,1599.77954,532.57855,653.83746,548.91412,171.38219,120.54915,86.50929,3315.42969,995.97369,301.83133,185.1158,191.76047,337.66974
36.0,646.66248,631.51129,1654.77832,811.96802,1280.81824,1591.41833,543.2301,663.36169,551.83167,173.29494,121.17053,87.45995,3352.18115,1017.53601,302.67917,185.94591,190.86018,338.8504
35.67,652.41418,635.26471,1636.68811,811.05054,1281.54895,1601.86987,542.7229,663.36169,564.33539,172.91238,123.0347,86.50929,3354.40845,1031.91089,302.67917,185.94591,194.46132,338.8504
35.67,642.55408,627.75787,1642.40088,811.96802,1276.43445,1585.84424,554.38892,674.79077,555.99957,174.44258,121.79192,87.45995,3365.54541,994.94696,301.83133,185.1158,191.76047,338.8504
36.0,648.30579,631.51129,1631.92761,805.54565,1269.12793,1587.93457,540.18677,659.552,554.74921,171.76474,121.17053,86.50929,3331.02124,1025.75024,300.98349,185.1158,192.66075,338.8504
36.0,643.37573,627.75787,1630.02332,807.38062,1277.16504,1584.45068,549.82391,669.55243,561.83466,173.29494,122.41331,86.50929,3361.09058,1024.72351,301.83133,185.1158,193.56104,340.03107
35.67,639.26733,625.88116,1641.44873,808.2981,1273.51184,1577.48303,548.80951,668.12378,550.99811,173.67749,121.17053,86.50929,3363.31787,1021.64313,301.83133,185.1158,191.76047,338.8504
35.67,641.73236,626.81952,1618.5979,801.87573,1264.01343,1577.48303,537.6507,656.21851,556.83319,170.99963,121.17053,85.55864,3320.99805,1025.75024,299.28781,184.28568,192.66075,337.66974
36.0,642.55408,627.75787,1635.73608,804.62817,1264.74414,1576.08948,533.59296,652.40881,545.16302,170.61708,119.92776,86.50929,3302.06543,988.78625,299.28781,183.45557,189.9599,335.30841
36.0,639.26733,624.94281,1635.73608,801.87573,1264.74414,1568.42505,540.18677,658.59961,545.16302,172.14729,119.30637,86.50929,3315.42969,986.73273,299.28781,184.28568,189.05962,337.66974
36.0,647.48413,631.51129,1636.68811,793.61847,1261.09094,1574.69592,521.92694,640.50354,547.24695,167.93924,119.92776,85.55864,3253.06348,1013.42896,296.74429,183.45557,189.9599,334.12775
35.67,648.30579,632.44965,1639.54443,798.20581,1258.16833,1580.27002,519.89807,638.1225,543.91266,167.93924,119.30637,85.55864,3256.40454,1019.5896,297.59213,183.45557,189.9599,334.12775
35.67,645.0191,629.63458,1645.2572,800.95825,1269.12793,1578.17981,534.60742,653.36127,547.24695,170.61708,119.92776,86.50929,3294.26978,1011.37537,298.43997,183.45557,189.05962,336.48907
36.0,641.73236,625.88116,1620.5022,792.70099,1261.82153,1567.72827,533.08575,651.45642,555.58276,169.85199,120.54915,85.55864,3287.58765,992.89337,297.59213,183.45557,191.76047,336.48907
36.0,645.0191,630.57294,1642.40088,799.12329,1258.16833,1569.12183,522.4342,641.45599,540.57831,168.32179,118.68499,85.55864,3258.63184,983.6524,296.74429,182.62544,188.15933,334.12775
35.67,644.19739,628.69623,1622.40637,780.77374,1249.40063,1557.97351,505.18878,623.83618,547.66376,164.49629,119.30637,83.65734,3192.92456,989.81305,293.35294,180.96521,189.9599,331.76645
35.67,632.69391,620.25104,1631.92761,795.45337,1258.89893,1551.70251,540.18677,659.07581,545.16302,171.76474,119.30637,86.50929,3314.31592,1006.24152,297.59213,183.45557,187.25905,336.48907
