Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.67,783.0614,769.4491,2124.17187,978.94897,1548.96448,1904.26721,703.51086,796.22449,600.17944,193.95261,128.62718,89.36125,3932.40918,1025.75024,323.87521,195.07718,208.86586,336.48907
36.0,794.56494,779.771,2140.35767,984.45386,1564.30798,1918.20264,700.46759,794.7959,598.92908,193.18752,129.86996,89.36125,3901.22607,1029.8573,323.02737,194.24707,209.76614,335.30841
36.0,782.23969,768.51074,2120.36328,967.02179,1537.27417,1884.75769,701.9892,794.7959,599.34589,190.89221,127.38441,89.36125,3822.15479,1017.53601,317.09247,191.75671,205.26472,335.30841
36.0,778.953,763.81903,2114.65063,958.76447,1529.96777,1881.9707,707.5686,798.60559,599.7627,190.89221,126.76302,88.4106,3817.69995,1022.66992,316.24463,192.58684,204.36444,337.66974
35.67,788.81317,772.26416,2131.78857,961.51691,1530.69836,1895.20923,696.40985,788.60516,595.59473,188.59691,126.76302,88.4106,3774.26636,993.92017,315.39679,191.75671,204.36444,335.30841
35.67,792.09985,775.07922,2118.45898,969.77423,1527.77588,1900.08667,696.91705,790.51001,595.17798,189.36201,126.76302,88.4106,3798.76733,1027.80383,316.24463,191.75671,206.16501,335.30841
36.0,788.81317,771.32581,2121.31543,966.10431,1528.50647,1886.15125,692.85931,785.27167,593.5108,188.97946,126.14163,88.4106,3780.94849,1020.61639,316.24463,191.75671,205.26472,334.12775
36.0,777.30963,759.12726,2110.84204,955.09454,1524.85327,1867.3385,691.84485,782.41437,594.76117,190.12712,126.76302,88.4106,3799.8811,1022.66992,316.24463,192.58684,205.26472,336.48907
35.67,767.44946,751.62042,2097.51245,942.24988,1509.50977,1840.86133,682.71497,771.93774,593.09399,187.83182,125.52025,87.45995,3739.74219,994.94696,312.85327,190.92661,204.36444,335.30841
35.67,760.87604,745.05194,2071.80542,940.41492,1489.05176,1827.62268,682.20776,771.46155,591.84363,188.97946,124.89886,87.45995,3753.10645,1020.61639,313.70111,190.92661,204.36444,335.30841
35.67,768.27112,754.43549,2085.13501,944.08484,1493.43555,1838.07422,673.58502,764.31836,589.3429,186.68417,124.27747,87.45995,3708.55908,1022.66992,312.00543,190.0965,202.56387,332.94708
36.0,771.55786,756.31219,2095.60815,942.24988,1496.35815,1832.50012,657.86127,748.60345,587.25891,183.62378,124.27747,86.50929,3647.30664,1012.40216,309.46191,188.43626,200.76331,330.58578
36.0,768.27112,752.55878,2085.13501,945.00232,1505.12585,1842.25488,670.54175,759.55627,587.67572,187.44926,125.52025,87.45995,3753.10645,1023.69672,314.54895,190.92661,205.26472,335.30841
35.67,770.73621,756.31219,2087.99121,958.76447,1519.00806,1863.85474,680.17883,770.50916,588.92609,190.12712,126.14163,88.4106,3839.97363,995.97369,318.78815,192.58684,205.26472,336.48907
35.67,771.55786,754.43549,2091.7998,951.42462,1514.62427,1853.4032,676.62836,765.74701,588.92609,188.97946,126.14163,87.45995,3804.33569,1026.77698,317.09247,192.58684,205.26472,336.48907
36.0,770.73621,755.37384,2094.65625,956.9295,1514.62427,1858.28052,676.12109,766.22321,587.67572,189.36201,125.52025,87.45995,3821.04102,993.92017,317.94031,192.58684,205.26472,335.30841
36.0,774.02289,758.1889,2094.65625,955.09454,1521.93066,1865.94495,680.17883,770.0329,589.7597,189.36201,126.76302,87.45995,3827.72314,1026.77698,318.78815,193.41695,207.06529,336.48907
35.67,774.02289,758.1889,2093.7041,958.76447,1518.27747,1867.3385,677.13556,767.17566,589.7597,189.36201,126.14163,87.45995,3831.06421,1025.75024,318.78815,193.41695,206.16501,335.30841
35.67,766.62781,752.55878,2096.5603,953.25958,1519.00806,1854.09998,680.6861,770.0329,588.50928,190.12712,126.14163,87.45995,3844.42822,995.97369,318.78815,193.41695,205.26472,336.48907
36.0,773.20123,759.12726,2099.41675,956.01202,1517.54688,1862.46118,678.65723,768.60431,589.7597,188.97946,126.14163,87.45995,3815.47266,1024.72351,317.94031,192.58684,206.16501,335.30841
