Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.67,529.98383,543.30615,1439.6001,668.84143,1077.69934,1430.46497,553.88165,672.40967,502.23349,156.0802,113.71389,80.80538,2882.20752,844.01074,265.37418,161.87256,164.75195,292.80453
36.0,529.98383,542.3678,1443.40845,658.74921,1084.27515,1419.31665,535.62183,655.74231,499.31598,153.01981,113.71389,80.80538,2822.06885,844.01074,262.83066,161.04243,165.65224,290.44321
36.0,528.34045,541.42944,1440.55212,667.92395,1095.96545,1436.73584,541.20123,662.8855,511.8197,154.55,115.57805,80.80538,2865.50244,841.95715,266.22202,162.70267,170.15366,292.80453
35.67,521.76703,536.73767,1423.41406,658.74921,1059.43323,1411.65222,551.34558,665.74274,496.81522,154.93256,111.84972,80.80538,2862.16138,820.39484,262.83066,161.04243,164.75195,291.62387
35.67,525.87543,540.49109,1442.45642,651.40936,1087.92834,1416.52954,499.10217,622.40753,490.98013,148.42921,113.71389,79.85474,2751.90674,851.19818,261.13498,159.38222,165.65224,288.08188
35.67,514.37189,529.23083,1420.55774,640.3996,1054.31873,1385.8717,510.76816,632.40796,486.39545,148.04666,110.60695,78.90408,2706.24585,832.71619,255.20009,156.89186,161.15082,285.72055
36.0,512.72858,530.16919,1411.98865,643.15204,1042.62842,1394.92969,524.97028,643.36084,489.31299,149.95941,109.36417,78.90408,2755.2478,836.8233,256.89578,158.55209,162.0511,288.08188
36.0,508.62015,523.60077,1397.70691,644.06952,1043.35913,1387.26526,507.72485,630.50311,483.89468,147.66412,109.36417,78.90408,2718.49634,838.87683,255.20009,157.72198,160.25053,285.72055
35.67,511.90686,528.29248,1404.3717,635.81226,1043.35913,1383.78149,467.65466,591.45386,466.80624,141.54332,108.1214,77.95343,2616.0376,803.96643,251.80873,155.23163,157.54968,279.81723
35.67,522.58868,536.73767,1418.65344,648.65692,1055.04944,1403.98767,500.62381,623.83618,478.0596,147.66412,109.98557,79.85474,2717.38281,808.07355,256.89578,157.72198,159.35025,285.72055
36.0,525.05377,538.61438,1429.12671,656.91425,1071.12354,1412.349,523.44861,644.78949,492.64731,151.48961,112.47112,79.85474,2783.08984,842.98395,260.28714,159.38222,162.95139,289.26254
36.0,520.94537,534.86096,1418.65344,646.82196,1054.31873,1395.62646,520.40533,639.55115,491.81372,150.34196,111.22834,79.85474,2747.45215,813.2074,257.74362,157.72198,162.0511,286.90121
35.67,521.76703,535.79932,1421.50989,647.73944,1057.97192,1402.59424,512.28979,633.83661,490.14655,149.57686,111.22834,79.85474,2744.11108,816.28772,258.59146,158.55209,162.95139,288.08188
35.67,521.76703,536.73767,1425.31824,652.32684,1069.66223,1407.47156,507.72485,629.55072,487.64581,149.57686,111.84972,79.85474,2749.67944,839.90363,259.4393,158.55209,162.95139,288.08188
36.0,523.4104,538.61438,1426.27039,644.987,1059.43323,1402.59424,519.89807,631.45557,483.47791,151.48961,111.22834,79.85474,2790.88574,842.98395,260.28714,159.38222,164.75195,291.62387
36.0,520.12366,533.92261,1421.50989,647.73944,1062.35583,1394.23303,524.97028,642.40839,494.31448,151.48961,112.47112,79.85474,2761.92993,819.36804,258.59146,158.55209,164.75195,289.26254
36.0,516.83698,530.16919,1408.18018,644.987,1044.82043,1386.56848,513.81146,637.1701,488.06259,149.19432,109.98557,79.85474,2706.24585,802.93964,256.04794,156.89186,158.44997,285.72055
35.67,516.83698,530.16919,1411.98865,639.48212,1051.39624,1379.60083,505.18878,625.26483,489.72977,148.04666,110.60695,78.90408,2691.76807,829.63586,255.20009,156.06175,161.15082,285.72055
35.67,515.1936,530.16919,1415.79712,635.81226,1047.01233,1378.90405,505.18878,621.45514,485.14505,147.66412,109.98557,78.90408,2704.01855,811.15387,255.20009,156.89186,162.0511,286.90121
36.0,515.1936,529.23083,1406.276,631.22485,1033.13013,1376.11707,496.56607,614.31195,478.89319,146.13391,108.74279,78.90408,2671.72168,804.99316,253.50441,156.06175,160.25053,285.72055
