Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.67,676.24292,693.44257,1883.28625,883.53131,1296.89246,1592.81189,655.3252,771.93774,538.91113,149.57686,93.82949,77.95343,2895.57178,840.93036,248.41737,156.89186,149.44713,249.12
35.67,675.42126,693.44257,1881.38208,887.20117,1310.04407,1603.26343,674.09222,784.31921,548.49731,152.25471,96.31504,77.95343,2951.25586,884.05499,250.96089,157.72198,154.84883,253.84265
36.0,674.59961,695.31927,1863.29187,885.36621,1299.08435,1609.5343,675.61389,783.36682,543.91266,153.40236,95.69366,78.90408,2982.43896,873.78723,253.50441,159.38222,153.94855,255.02332
36.0,668.02612,688.75079,1891.85535,892.70605,1329.04077,1618.59229,658.36853,770.50916,545.99658,150.72452,96.93643,77.95343,2943.45996,890.2157,251.80873,157.72198,156.6494,255.02332
36.0,689.38983,703.76447,1912.80188,910.13812,1345.84558,1653.43066,686.2655,791.4624,553.08203,155.31511,98.17921,78.90408,3068.19238,914.85834,259.4393,162.70267,161.15082,262.1073
35.67,654.87927,681.24396,1876.62146,895.4585,1337.80847,1624.86328,649.23859,760.98492,543.91266,149.95941,98.17921,77.95343,2950.14209,861.46594,250.96089,157.72198,158.44997,257.38464
35.67,687.74646,701.88776,1910.89771,913.80804,1351.69067,1657.61133,696.40985,798.60559,554.3324,157.22786,98.17921,79.85474,3114.96704,902.53699,261.13498,164.3629,163.85167,264.46863
36.0,651.59253,681.24396,1876.62146,890.87109,1335.61658,1628.34705,652.78912,761.93732,542.66223,151.87216,98.17921,78.90408,2964.61987,877.89435,251.80873,157.72198,158.44997,257.38464
36.0,667.20447,689.68915,1896.61597,898.21094,1338.53918,1638.79858,698.43872,798.12933,555.58276,157.99295,98.80059,79.85474,3117.19434,919.99225,260.28714,162.70267,162.95139,263.28796
35.67,684.45972,696.25763,1893.75952,903.71582,1339.26978,1636.01147,686.2655,791.4624,550.5813,153.78491,98.17921,78.90408,3028.09985,891.24243,255.20009,161.04243,160.25053,262.1073
35.33,658.16595,684.99738,1888.04688,890.87109,1340.00037,1629.04382,649.23859,751.93689,541.41187,151.48961,98.80059,78.90408,2973.52954,888.16211,251.80873,157.72198,160.25053,260.92664
36.0,684.45972,699.07269,1899.47229,905.55078,1340.00037,1639.49536,721.26349,820.03503,558.50031,159.52315,99.42198,79.85474,3104.94385,890.2157,257.74362,162.70267,162.95139,266.82996
35.67,659.80933,687.81244,1893.75952,894.54102,1331.23267,1606.05054,703.00366,809.08221,559.75073,157.6104,98.80059,77.95343,3067.07861,873.78723,251.80873,158.55209,162.0511,260.92664
35.67,663.09607,684.99738,1876.62146,879.86139,1302.73755,1571.90881,716.19135,812.41571,561.83466,156.84531,98.17921,77.95343,2992.46191,874.81403,245.026,155.23163,160.25053,258.56531
35.67,669.66949,688.75079,1849.96228,881.69635,1289.58606,1590.72156,697.93146,797.17694,549.33093,156.0802,97.55782,77.95343,3002.48511,882.00146,249.26521,157.72198,158.44997,259.74597
36.0,643.37573,672.79883,1857.5791,882.61383,1309.31335,1570.51526,675.61389,781.93817,554.74921,154.93256,98.80059,77.95343,3022.53149,893.29602,247.56953,156.89186,162.0511,262.1073
36.0,649.1275,679.36725,1849.96228,878.02643,1293.96985,1580.27002,716.69855,806.70117,558.50031,160.67081,98.80059,77.95343,3083.78394,900.48346,251.80873,158.55209,162.95139,265.64929
35.67,662.27435,685.93573,1865.19604,895.4585,1319.54236,1594.90222,715.68408,810.03461,563.50183,160.28825,99.42198,78.90408,3114.96704,885.08179,252.65657,159.38222,164.75195,266.82996
35.67,620.36865,662.47693,1809.02124,883.53131,1312.23596,1576.78625,653.29633,753.84174,544.74622,154.55,100.04337,78.90408,3030.32715,850.17139,248.41737,156.06175,161.15082,264.46863
36.0,660.63104,684.05902,1854.72278,889.95361,1310.77466,1590.72156,709.09027,801.46283,558.91711,159.52315,99.42198,78.90408,3100.48901,900.48346,252.65657,159.38222,163.85167,266.82996
