Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.67,442.88571,434.45724,1112.07202,586.26843,927.18677,1141.30615,522.94141,619.0741,520.57233,157.6104,106.25724,77.00278,2714.04175,819.36804,244.17816,151.08105,160.25053,282.17856
36.0,468.35782,454.16266,1165.3905,574.34119,934.49323,1177.53809,489.46503,585.26312,508.48538,150.72452,105.01447,75.10148,2616.0376,837.85004,244.17816,151.08105,157.54968,277.4559
36.0,393.5849,395.04645,1103.50293,572.50623,918.41907,1091.13879,587.86523,668.12378,523.90668,168.32179,107.50002,77.00278,2855.47925,854.2785,246.72168,151.91116,162.95139,285.72055
36.0,429.73883,425.07373,1121.59314,581.68103,933.76257,1125.28052,533.08575,623.83618,515.98761,160.28825,106.25724,76.05212,2741.88379,818.34131,245.87384,151.08105,158.44997,280.99789
35.67,442.06403,431.64218,1105.40723,583.51599,922.80292,1148.97058,506.20322,598.59705,518.07159,156.0802,106.25724,76.05212,2671.72168,838.87683,244.17816,150.25093,159.35025,277.4559
35.67,452.74588,439.14902,1126.35376,586.26843,938.14642,1157.33179,495.55164,591.45386,512.23651,154.16747,105.63585,76.05212,2648.33447,812.1806,243.33032,150.25093,157.54968,276.27524
36.0,444.52908,435.3956,1138.7312,583.51599,942.53027,1135.73206,510.76816,603.83533,506.40143,156.84531,105.01447,76.05212,2687.31323,809.10028,244.17816,150.25093,155.74911,278.63657
35.67,446.17242,436.33395,1154.91724,581.68103,938.14642,1143.39648,501.63824,595.73975,501.81671,155.31511,103.77169,76.05212,2661.69873,808.07355,243.33032,150.25093,154.84883,278.63657
35.67,441.24237,433.51889,1151.10876,580.76355,934.49323,1134.3385,508.73929,602.88293,506.81821,156.46275,104.39307,76.05212,2678.40381,833.74292,243.33032,150.25093,156.6494,279.81723
35.67,436.31229,429.76547,1115.88049,579.84607,924.99481,1133.64172,513.30426,606.21637,515.5708,157.22786,106.25724,76.05212,2690.6543,841.95715,244.17816,151.08105,159.35025,279.81723
36.0,452.74588,440.08737,1136.82703,582.59851,931.57062,1162.20923,481.34955,579.54858,503.48389,150.72452,104.39307,75.10148,2587.08203,828.60907,240.7868,148.59071,155.74911,273.91391
35.67,468.35782,454.16266,1155.86938,576.17615,933.76257,1174.0542,450.91647,551.45215,504.31747,144.22118,104.39307,74.15083,2490.19165,813.2074,238.24327,147.76059,155.74911,269.19128
35.67,427.2738,424.13538,1126.35376,575.25867,922.07227,1123.19019,527.50635,620.02649,513.48688,159.14061,105.63585,76.05212,2704.01855,841.95715,244.17816,151.08105,159.35025,282.17856
35.67,429.73883,424.13538,1115.88049,576.17615,920.61096,1126.67407,519.39087,611.93091,510.15253,157.22786,105.01447,76.05212,2679.51758,834.76971,242.48248,150.25093,157.54968,279.81723
36.0,451.10251,440.08737,1142.53967,576.17615,927.18677,1147.57703,484.39285,580.02478,498.89917,150.34196,103.77169,75.10148,2580.3999,804.99316,239.93896,148.59071,154.84883,275.09457
36.0,430.56052,424.13538,1131.11426,578.01111,928.64807,1132.94495,519.89807,611.45471,503.90067,157.22786,104.39307,76.05212,2679.51758,832.71619,243.33032,150.25093,156.6494,279.81723
35.67,408.37515,408.18338,1065.41833,576.17615,903.0755,1113.43542,548.80951,634.78906,523.48987,162.58354,106.87862,76.05212,2754.13428,824.50195,244.17816,151.08105,162.0511,283.35922
36.0,419.05698,414.75183,1117.78467,580.76355,930.10931,1123.19019,536.12903,622.40753,507.65179,160.28825,105.01447,76.05212,2722.95117,836.8233,244.17816,150.25093,158.44997,282.17856
36.0,431.3822,425.07373,1107.3114,587.18591,922.80292,1148.2738,533.08575,626.21722,521.40588,159.9057,106.87862,77.00278,2718.49634,848.1178,245.026,151.91116,161.15082,282.17856
36.0,424.80875,420.38196,1124.44946,588.10339,935.22388,1144.09326,547.79504,637.1701,519.73871,162.58354,106.87862,77.00278,2769.72583,824.50195,247.56953,152.74129,161.15082,285.72055
