Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.67,649.1275,678.42889,1868.05249,823.8952,1270.58923,1532.19312,700.97479,790.51001,593.92761,178.26808,113.0925,83.65734,3318.77075,953.87585,275.54828,170.17371,179.15649,296.34653
36.0,651.59253,681.24396,1864.24402,824.81268,1272.05054,1540.55432,708.07581,800.03418,600.17944,179.03317,114.33527,84.60799,3314.31592,951.82233,275.54828,170.17371,179.15649,296.34653
36.0,653.2359,682.18231,1861.38757,825.73016,1263.28284,1540.55432,707.0614,798.12933,607.26489,179.41573,114.33527,84.60799,3323.22534,942.5813,275.54828,170.17371,178.25621,296.34653
35.67,654.87927,684.05902,1860.43555,823.8952,1267.66675,1541.94788,694.88818,784.31921,601.01306,177.88553,113.71389,84.60799,3320.99805,949.76874,276.39612,170.17371,179.15649,296.34653
35.67,657.3443,684.99738,1877.57361,824.81268,1275.70374,1541.94788,691.33765,781.46198,593.5108,177.12042,113.0925,83.65734,3319.88428,949.76874,276.39612,170.17371,179.15649,295.16586
36.0,659.80933,686.87408,1880.42993,823.8952,1274.24243,1546.8252,691.84485,782.41437,592.26044,177.50298,113.0925,84.60799,3308.74756,926.15289,276.39612,170.17371,178.25621,295.16586
36.0,663.91772,690.6275,1882.33423,825.73016,1280.08765,1552.39929,697.42426,789.08136,596.01154,178.65063,113.71389,84.60799,3313.20239,924.0993,276.39612,170.17371,178.25621,296.34653
36.0,664.73944,690.6275,1888.99902,823.8952,1281.54895,1548.21875,687.78711,778.60474,599.7627,177.12042,113.71389,83.65734,3310.97485,949.76874,276.39612,171.00383,178.25621,295.16586
35.67,662.27435,687.81244,1886.1427,820.22528,1277.89575,1541.94788,683.72937,774.31879,592.26044,175.97278,113.0925,83.65734,3288.70117,922.04578,274.70044,169.3436,177.35593,293.9852
35.67,665.5611,689.68915,1886.1427,823.8952,1276.43445,1553.79285,689.30878,780.50958,588.92609,176.73788,113.0925,84.60799,3287.58765,942.5813,275.54828,170.17371,177.35593,295.16586
35.67,672.13452,695.31927,1895.66382,827.56512,1285.20215,1567.03149,692.85931,785.27167,599.7627,177.88553,114.33527,84.60799,3295.3833,944.63489,277.24396,170.17371,177.35593,295.16586
36.0,672.95624,695.31927,1911.84973,824.81268,1293.23926,1564.24438,681.7005,771.93774,598.09552,175.97278,114.33527,83.65734,3290.92871,921.01898,276.39612,170.17371,178.25621,295.16586
36.0,671.31287,693.44257,1909.94556,826.64764,1288.85535,1563.54761,685.25104,776.22363,591.84363,176.35533,113.0925,83.65734,3285.36035,945.66162,276.39612,170.17371,177.35593,295.16586
35.67,676.24292,698.13434,1909.94556,827.56512,1284.47156,1569.12183,683.22217,774.31879,586.42535,175.97278,112.47112,83.65734,3273.10962,941.55457,276.39612,170.17371,176.45564,293.9852
35.67,678.70801,699.07269,1908.99341,830.31757,1288.85535,1573.30237,690.83044,784.31921,590.59326,177.12042,113.71389,84.60799,3274.22339,917.93866,276.39612,170.17371,177.35593,293.9852
36.0,676.24292,698.13434,1902.32861,830.31757,1292.50854,1571.21204,690.32324,783.84302,601.01306,177.12042,114.33527,84.60799,3268.65503,914.85834,276.39612,170.17371,176.45564,293.9852
36.0,677.06464,697.19598,1906.13708,827.56512,1288.12476,1560.7605,684.74384,776.22363,596.42834,176.35533,113.71389,83.65734,3271.99609,940.52777,275.54828,169.3436,177.35593,293.9852
35.67,674.59961,695.31927,1912.80188,826.64764,1282.27954,1555.1864,682.20776,773.36639,590.59326,175.97278,113.0925,83.65734,3270.88232,940.52777,275.54828,169.3436,177.35593,293.9852
35.67,670.49115,693.44257,1892.8075,830.31757,1280.08765,1558.67029,688.80157,782.89062,588.50928,177.12042,113.0925,84.60799,3264.2002,941.55457,275.54828,169.3436,176.45564,293.9852
36.0,671.31287,693.44257,1899.47229,830.31757,1286.66345,1562.85083,691.84485,785.74786,598.09552,177.50298,114.33527,84.60799,3266.42773,938.47418,275.54828,169.3436,176.45564,293.9852
