Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
41.67,1025.45715,611.80591,1767.12805,1022.98792,1554.80969,1886.84802,43.62072,54.76424,128.37172,57.38243,285.2168,137.84448,6567.37939,2825.69043,773.23083,454.90338,610.39246,1608.0636
41.67,1032.85217,614.62097,1778.55347,1035.83264,1566.5,1894.51245,44.63515,56.19288,130.45567,58.14753,286.45956,138.79514,6716.61279,2858.54736,786.79633,462.37442,616.69446,1612.78625
42.0,1046.8208,614.62097,1780.45776,1036.75012,1568.69189,1884.06091,44.63515,56.19288,130.03888,58.53008,286.45956,138.79514,6692.11182,2859.57397,785.10065,461.54431,617.59473,1610.42493
42.0,1050.10754,610.86755,1769.03235,1036.75012,1567.23059,1866.64172,44.63515,56.19288,130.03888,58.53008,287.08096,138.79514,6634.2002,2839.03857,779.16571,457.39374,613.09332,1608.0636
41.67,1047.64246,609.9292,1756.65479,1039.50256,1564.30798,1860.37085,44.63515,56.66909,130.45567,58.53008,288.32373,139.74579,6620.83594,2852.38647,779.16571,458.22385,615.79419,1612.78625
41.67,1059.96765,613.68262,1745.22937,1042.255,1564.30798,1863.15796,44.12793,55.71667,128.78851,58.14753,289.5665,139.74579,6526.17334,2831.85107,772.383,454.07327,613.99359,1608.0636
42.0,1048.46411,609.9292,1729.04346,1040.42004,1552.61768,1854.79675,44.12793,56.19288,129.62209,58.53008,289.5665,139.74579,6600.79004,2824.66357,780.01355,458.22385,611.29272,1608.0636
41.67,1027.92212,609.9292,1757.60693,1054.18213,1570.88379,1870.12561,45.64959,58.09772,132.53963,59.67773,288.94513,139.74579,6650.90576,2871.89526,785.94849,461.54431,618.495,1604.52161
41.67,1025.45715,607.11414,1746.18152,1051.42969,1557.00159,1862.46118,45.14237,57.1453,130.87247,59.29518,289.5665,139.74579,6497.21729,2845.19922,774.92651,454.07327,612.19305,1596.25696
41.67,1018.06195,601.48401,1734.7561,1040.42004,1544.58069,1844.34521,44.63515,56.19288,129.62209,58.53008,290.1879,139.74579,6441.5332,2823.63672,772.383,452.41306,606.79132,1585.63098
41.67,996.6983,595.85388,1729.99561,1028.4928,1535.81287,1835.28723,43.1135,54.76424,127.53813,57.76498,288.94513,139.74579,6286.73193,2774.35156,760.51324,445.77213,597.78851,1584.45032
41.67,993.41156,597.73059,1731.89978,1028.4928,1534.35156,1846.43542,43.1135,55.24046,127.53813,57.76498,290.1879,139.74579,6257.77588,2783.59253,758.81757,444.94202,601.38965,1590.35364
41.67,996.6983,598.66895,1740.46887,1026.65784,1536.54358,1851.31287,42.60628,54.76424,126.28776,57.76498,290.8093,140.69644,6316.80127,2769.21753,763.05676,447.43234,599.58905,1650.5675
41.67,1021.34869,604.29907,1805.21277,1034.91516,1592.07251,1865.94495,42.09906,53.33561,124.6206,57.76498,291.43066,139.74579,6173.13623,2767.16406,752.88269,440.79141,613.99359,1649.38684
42.0,1028.74377,598.66895,1712.85742,1021.15295,1522.66138,1835.28723,42.09906,53.33561,124.2038,56.99988,292.05206,140.69644,6133.04346,2738.41431,751.18701,439.1312,601.38965,1616.32825
41.67,1029.56555,595.85388,1718.57019,1021.15295,1521.93066,1824.83569,41.59185,52.8594,122.95343,56.61733,291.43066,140.69644,6065.10889,2720.95923,746.94781,436.64084,598.68878,1611.60559
