Temp,I,J,K,L,R,S
39.33,150.04486,63.50322,61.51735,44.68063,383.10641,155.04333
39.33,150.04486,63.50322,61.51735,44.68063,383.10641,155.04333
39.33,150.04486,63.50322,61.51735,44.68063,381.99274,155.04333
39.0,150.04486,63.50322,61.51735,44.68063,383.10641,155.04333
39.33,150.04486,63.12067,61.51735,44.68063,381.99274,154.01656
39.33,150.04486,63.12067,61.51735,43.72997,383.10641,154.01656
39.33,149.62807,63.12067,60.89596,43.72997,381.99274,154.01656
39.33,149.62807,63.12067,60.89596,43.72997,381.99274,154.01656
39.33,149.62807,63.12067,60.89596,43.72997,381.99274,154.01656
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,154.01656
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,154.01656
39.0,149.62807,62.73812,60.89596,43.72997,380.87906,154.01656
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,154.01656
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,152.98978
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,154.01656
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,152.98978
39.33,149.21129,62.73812,60.89596,43.72997,381.99274,152.98978
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,152.98978
39.33,149.21129,62.73812,60.89596,43.72997,381.99274,152.98978
39.33,149.62807,62.73812,60.89596,43.72997,381.99274,152.98978
21.04022,263.46823,117.8808,1850.9386,775.21667,,
39.67,35.42726,21.04022,264.08963,119.7821,1856.50696,774.18988
39.33,35.84405,21.42277,270.3035,122.63406,1842.02905,775.21667
39.33,35.84405,21.42277,275.896,124.53535,1836.46069,776.24341
39.33,35.84405,21.42277,276.51736,124.53535,1832.00598,776.24341
39.67,35.84405,21.42277,277.13876,124.53535,1837.57434,775.21667
39.33,35.84405,21.42277,277.13876,124.53535,1832.00598,774.18988
39.67,35.84405,21.42277,277.76016,124.53535,1825.32385,773.16309
39.33,35.84405,21.42277,277.76016,124.53535,1825.32385,773.16309
39.33,35.84405,21.42277,277.13876,124.53535,1819.75549,772.13635
39.33,35.84405,21.42277,277.76016,124.53535,1810.84607,772.13635
39.0,35.84405,21.42277,278.38153,124.53535,1810.84607,771.10956
39.67,35.84405,21.42277,278.38153,125.48601,1807.505,770.08276
39.33,35.84405,21.42277,279.6243,126.43666,1807.505,770.08276
39.33,35.84405,21.42277,280.2457,126.43666,1799.70923,770.08276
39.33,35.84405,21.42277,280.8671,126.43666,1795.25452,769.05597
39.33,35.84405,21.42277,281.48846,126.43666,1790.7998,768.02924
39.67,35.84405,21.42277,282.10986,126.43666,1786.34497,768.02924
39.33,35.84405,21.42277,282.73126,127.38731,1788.57239,768.02924
39.33,35.84405,21.42277,283.97403,127.38731,1785.23132,768.02924
39.33,35.84405,21.80532,295.159,132.14056,1745.13879,756.73468
39.67,35.84405,21.42277,295.7804,132.14056,1713.95569,755.70789
39.33,34.59368,21.04022,288.94513,127.38731,1660.49902,744.41333
39.33,33.76009,20.65767,279.00293,125.48601,1653.81689,738.25269
39.33,33.76009,20.65767,280.2457,126.43666,1654.93066,738.25269
39.33,34.17689,21.04022,281.48846,126.43666,1651.5896,736.19916
39.67,34.17689,21.04022,281.48846,126.43666,1649.36218,737.22589
39.33,34.17689,21.04022,281.48846,126.43666,1649.36218,737.22589
39.67,34.17689,21.04022,282.73126,127.38731,1651.5896,738.25269
39.67,34.17689,21.04022,283.35263,127.38731,1648.24854,738.25269
