Temp,I,J,K,L,R,S
39.33,27.92502,17.97983,267.19656,122.63406,1310.8031,645.84277
39.33,27.92502,17.97983,267.19656,122.63406,1307.46204,644.81598
39.33,27.92502,17.97983,267.81796,122.63406,1305.23462,644.81598
39.33,27.92502,17.97983,267.81796,122.63406,1300.77991,643.78918
39.33,27.92502,17.97983,267.19656,122.63406,1296.3252,642.76239
39.33,27.92502,17.97983,267.19656,122.63406,1292.98413,641.73566
39.33,27.50822,17.97983,267.19656,122.63406,1288.52942,640.70886
39.67,27.50822,17.59728,267.19656,122.63406,1284.07471,638.65533
39.67,27.50822,17.59728,266.57516,121.6834,1281.84729,637.62854
39.67,27.50822,17.59728,265.3324,121.6834,1279.62,635.57495
39.67,27.50822,17.59728,265.3324,121.6834,1275.16528,634.54822
39.33,27.50822,17.59728,264.71103,121.6834,1275.16528,634.54822
39.67,27.50822,17.59728,264.71103,121.6834,1270.71057,633.52142
39.67,27.50822,17.59728,264.71103,121.6834,1269.5968,632.49463
39.33,27.09143,17.59728,264.08963,121.6834,1267.36951,631.4679
39.67,27.09143,17.59728,264.08963,121.6834,1266.25574,630.4411
39.67,27.09143,17.59728,264.08963,121.6834,1261.80103,629.41431
39.33,27.09143,17.59728,264.08963,121.6834,1262.91479,629.41431
40.0,27.09143,17.59728,264.08963,121.6834,1259.57373,628.38751
39.67,27.09143,17.59728,263.46823,121.6834,1257.34631,628.38751
39.67,27.09143,17.59728,262.84686,120.73275,1252.8916,626.33398
39.67,27.09143,17.21473,262.84686,120.73275,1254.00525,625.30719
39.33,26.67464,17.21473,262.22546,120.73275,1251.77795,625.30719
39.33,26.67464,17.21473,262.22546,120.73275,1250.66431,624.28046
39.67,26.67464,17.21473,262.22546,120.73275,1248.43689,624.28046
39.33,26.67464,17.21473,262.22546,120.73275,1246.20947,623.25366
39.33,26.67464,17.21473,262.22546,120.73275,1242.86853,622.22687
39.33,26.67464,17.21473,262.22546,120.73275,1241.75476,621.20007
39.33,26.67464,17.21473,262.22546,120.73275,1240.64111,621.20007
39.67,26.67464,17.21473,262.22546,120.73275,1237.30005,621.20007
39.67,26.67464,17.21473,262.22546,120.73275,1237.30005,620.17334
40.0,26.67464,17.21473,261.60406,120.73275,1233.95898,619.14655
40.0,26.67464,17.21473,261.60406,120.73275,1230.61804,619.14655
40.0,26.67464,17.21473,262.22546,120.73275,1235.07275,618.11975
40.0,26.67464,17.21473,262.84686,120.73275,1232.84534,619.14655
39.67,26.67464,17.21473,262.84686,120.73275,1232.84534,619.14655
39.67,26.67464,17.21473,262.22546,120.73275,1232.84534,618.11975
39.67,26.67464,17.21473,262.22546,120.73275,1227.27698,618.11975
39.67,26.67464,17.21473,263.46823,121.6834,1213.91272,615.03943
39.33,26.67464,17.21473,265.9538,122.63406,1210.57178,612.9859
39.67,26.25785,17.21473,267.19656,123.58471,1202.776,611.95911
40.0,26.67464,17.21473,269.68213,123.58471,1211.68542,612.9859
39.67,26.67464,17.59728,269.68213,125.48601,1237.30005,614.01263
39.67,27.09143,17.59728,274.03183,125.48601,1251.77795,623.25366
39.67,27.09143,17.97983,275.2746,126.43666,1269.5968,624.28046
39.67,27.50822,17.97983,277.13876,126.43666,1265.14209,631.4679
39.67,27.50822,17.59728,277.76016,127.38731,1266.25574,629.41431
40.0,27.50822,17.59728,276.51736,126.43666,1278.50635,631.4679
39.33,27.09143,17.59728,274.03183,124.53535,1270.71057,632.49463
40.0,26.67464,17.59728,270.3035,123.58471,1268.48315,627.36078
39.67,26.67464,17.59728,269.68213,123.58471,1266.25574,626.33398
39.67,27.09143,17.59728,271.54626,123.58471,1280.73364,627.36078
39.67,26.67464,17.21473,271.54626,124.53535,1280.73364,625.30719
39.67,27.09143,17.21473,270.9249,123.58471,1276.27893,625.30719
39.33,26.67464,17.21473,269.06073,123.58471,1271.82422,623.25366
39.67,26.67464,17.21473,268.43933,123.58471,1269.5968,624.28046
39.67,26.67464,17.21473,269.68213,123.58471,1271.82422,625.30719
40.0,26.67464,17.21473,269.06073,123.58471,1270.71057,624.28046
39.33,26.67464,17.21473,269.06073,124.53535,1280.73364,626.33398
39.33,26.67464,17.59728,269.68213,123.58471,1291.87048,626.33398
39.67,26.67464,17.21473,268.43933,123.58471,1287.41577,626.33398
39.67,26.67464,17.59728,269.06073,123.58471,1284.07471,627.36078
39.67,26.67464,17.21473,267.81796,122.63406,1275.16528,625.30719
39.67,26.67464,17.21473,268.43933,122.63406,1281.84729,624.28046
39.67,26.67464,17.21473,266.57516,121.6834,1284.07471,625.30719
39.67,26.67464,17.21473,268.43933,122.63406,1285.18835,625.30719
39.67,26.67464,17.21473,267.19656,123.58471,1271.82422,623.25366
39.67,27.09143,17.21473,269.06073,122.63406,1289.64307,625.30719
39.67,26.67464,17.21473,266.57516,121.6834,1296.3252,627.36078
40.0,26.67464,16.83218,262.84686,118.83145,1288.52942,625.30719
40.0,25.84106,16.44963,252.28326,115.97949,1279.62,620.17334
40.0,25.84106,16.44963,252.28326,116.93015,1276.27893,619.14655
39.67,25.84106,16.44963,250.41911,115.97949,1274.05151,618.11975
40.0,25.84106,16.44963,249.79771,115.97949,1277.39258,618.11975
40.0,25.84106,16.06708,249.17633,115.97949,1275.16528,619.14655
39.67,25.42427,16.06708,246.69078,115.02884,1280.73364,619.14655
