Temp,I,J,K,L,R,S
39.67,72.93848,32.13416,274.03183,125.48601,2905.59497,1031.91089
39.67,72.93848,32.13416,274.03183,125.48601,2904.4812,1032.93774
39.67,72.52168,32.13416,274.65323,125.48601,2906.7085,1034.99121
40.0,72.52168,32.13416,274.65323,125.48601,2910.04956,1032.93774
40.33,72.93848,32.13416,274.03183,125.48601,2913.39062,1036.01807
40.0,72.52168,31.75161,274.65323,125.48601,2906.7085,1036.01807
40.0,72.52168,31.75161,274.03183,125.48601,2901.14014,1036.01807
40.0,71.6881,31.75161,274.03183,125.48601,2903.36743,1032.93774
39.67,72.1049,32.13416,275.2746,125.48601,2922.30005,1034.99121
40.0,73.35527,32.13416,275.2746,125.48601,2937.8916,1040.12512
39.67,71.6881,31.75161,275.2746,126.43666,2926.75488,1039.09839
40.0,71.6881,31.75161,275.2746,126.43666,2928.98218,1042.17871
39.67,72.52168,32.13416,275.2746,125.48601,2937.8916,1042.17871
40.0,72.93848,32.13416,275.896,126.43666,2957.93799,1045.25903
40.0,73.77206,32.51671,275.2746,126.43666,2961.27905,1049.36609
40.0,73.35527,32.51671,275.2746,126.43666,2960.16528,1048.33936
40.0,74.18885,32.51671,275.896,126.43666,2965.73364,1049.36609
40.33,73.35527,32.51671,275.896,126.43666,2953.48315,1046.28577
40.33,73.77206,32.51671,275.896,126.43666,2955.71045,1045.25903
40.0,73.77206,32.51671,275.896,126.43666,2960.16528,1048.33936
40.33,74.18885,32.89926,275.896,125.48601,2962.39258,1047.31262
40.0,74.60564,32.51671,275.2746,125.48601,2964.61987,1044.23218
40.0,71.6881,32.51671,274.65323,125.48601,2957.93799,1045.25903
39.67,75.02243,32.89926,275.2746,125.48601,3004.7124,1058.60718
39.67,75.43922,33.28181,274.65323,125.48601,3030.32715,1058.60718
40.33,75.85602,33.28181,274.65323,125.48601,3042.57764,1064.76782
40.0,76.2728,33.66436,274.03183,124.53535,3059.28296,1066.82129
40.0,75.85602,33.28181,274.03183,124.53535,3064.85132,1070.92847
40.0,74.60564,32.51671,274.03183,125.48601,3010.28101,1064.76782
40.0,74.18885,32.51671,274.65323,125.48601,3015.84937,1060.66064
40.0,74.18885,32.89926,274.65323,125.48601,3030.32715,1065.79456
40.0,75.02243,32.89926,273.41043,125.48601,3041.46411,1066.82129
39.67,74.60564,32.89926,274.03183,125.48601,3022.53149,1062.71423
40.33,75.02243,32.89926,274.03183,125.48601,3039.23657,1065.79456
39.67,75.02243,32.89926,274.03183,125.48601,3041.46411,1065.79456
39.67,75.85602,33.28181,274.03183,125.48601,3054.82812,1068.87488
39.67,75.43922,33.28181,274.65323,125.48601,3058.16919,1068.87488
39.67,75.43922,33.28181,274.65323,125.48601,3058.16919,1067.84814
40.33,75.43922,32.89926,275.2746,125.48601,3032.55444,1066.82129
40.0,75.02243,32.89926,275.2746,126.43666,3045.9187,1063.74097
40.0,75.43922,32.89926,275.896,126.43666,3048.146,1065.79456
40.0,75.85602,32.89926,276.51736,126.43666,3059.28296,1067.84814
40.0,76.2728,32.89926,276.51736,126.43666,3059.28296,1068.87488
40.0,75.43922,32.51671,275.896,126.43666,3030.32715,1066.82129
40.0,74.18885,32.51671,275.896,126.43666,3021.41772,1062.71423
39.67,75.02243,32.51671,275.896,126.43666,3041.46411,1063.74097
40.0,75.43922,32.51671,276.51736,126.43666,3028.09985,1066.82129
39.67,74.60564,32.51671,275.2746,126.43666,3030.32715,1061.6875
39.67,74.60564,32.89926,275.896,126.43666,3039.23657,1062.71423
40.0,74.60564,32.51671,275.896,126.43666,3030.32715,1063.74097
40.0,74.18885,32.89926,275.896,126.43666,3044.80493,1061.6875
40.0,73.77206,32.13416,276.51736,126.43666,3034.78198,1065.79456
