Temp,I,J,K,L,R,S
39.33,198.39265,57.38243,80.78036,57.0391,942.1745,279.28336
39.33,209.22923,56.99988,83.88729,57.98975,947.74292,294.685
39.33,208.81244,56.23478,82.64452,57.0391,938.83344,293.65823
39.33,207.56206,56.23478,82.02313,57.0391,932.15137,291.60468
39.33,207.14526,55.85223,82.02313,57.0391,921.01453,289.55112
39.67,207.14526,57.38243,82.02313,57.98975,942.1745,288.52435
39.33,211.72998,58.14753,85.13007,57.98975,952.19763,291.60468
39.33,211.31319,58.14753,84.50868,57.98975,952.19763,291.60468
39.33,210.89639,58.14753,84.50868,57.98975,958.8797,293.65823
39.33,210.06281,57.76498,83.88729,57.98975,954.42499,292.63144
39.33,209.64601,57.76498,83.88729,57.0391,951.08392,291.60468
39.33,209.22923,57.76498,83.88729,57.0391,951.08392,291.60468
39.33,208.81244,57.76498,83.88729,57.0391,949.97028,290.57791
39.33,208.81244,57.76498,83.88729,57.0391,952.19763,291.60468
39.33,207.97885,57.76498,83.88729,57.0391,949.97028,291.60468
39.33,207.56206,57.76498,83.88729,57.0391,948.85657,291.60468
39.33,206.72849,57.76498,83.26591,57.0391,947.74292,291.60468
39.33,206.31169,57.38243,83.26591,57.0391,946.62921,291.60468
39.33,205.8949,57.38243,83.26591,57.0391,945.51556,291.60468
39.33,205.4781,57.38243,83.26591,57.0391,942.1745,291.60468
39.33,205.4781,57.38243,83.26591,57.0391,942.1745,291.60468
39.67,205.4781,57.38243,83.26591,57.0391,942.1745,291.60468
39.33,205.06131,57.38243,83.26591,57.0391,939.94714,291.60468
39.67,204.64452,57.38243,83.26591,57.0391,939.94714,291.60468
39.67,204.64452,57.38243,83.26591,57.0391,938.83344,291.60468
39.33,204.64452,57.38243,82.64452,57.0391,937.71979,290.57791
39.33,204.22774,57.38243,82.64452,56.08844,936.60608,290.57791
39.67,204.22774,57.38243,82.64452,56.08844,935.49243,290.57791
39.33,203.81094,56.99988,82.64452,56.08844,936.60608,290.57791
39.33,203.81094,56.99988,82.64452,56.08844,935.49243,290.57791
39.67,203.39415,56.99988,82.64452,56.08844,935.49243,290.57791
39.33,203.39415,56.99988,82.64452,56.08844,935.49243,290.57791
39.67,203.39415,56.99988,82.64452,56.08844,935.49243,290.57791
40.0,202.97736,56.99988,82.64452,56.08844,935.49243,290.57791
39.67,202.97736,56.99988,82.64452,56.08844,934.37872,290.57791
39.33,202.97736,56.99988,82.64452,56.08844,935.49243,290.57791
39.33,202.97736,56.99988,82.64452,56.08844,934.37872,290.57791
39.33,202.97736,56.99988,82.64452,56.08844,935.49243,290.57791
39.33,202.97736,56.99988,82.64452,56.08844,934.37872,290.57791
39.33,202.97736,56.99988,82.64452,56.08844,936.60608,290.57791
39.33,202.97736,57.38243,82.64452,56.08844,936.60608,290.57791
39.67,202.97736,57.38243,82.64452,56.08844,937.71979,290.57791
39.67,202.97736,57.38243,82.64452,56.08844,936.60608,290.57791
39.33,202.97736,56.99988,82.64452,56.08844,936.60608,290.57791
39.67,202.97736,57.38243,82.64452,56.08844,937.71979,290.57791
39.33,202.97736,57.38243,82.64452,56.08844,935.49243,290.57791
39.67,202.97736,57.38243,82.64452,56.08844,936.60608,290.57791
39.33,202.97736,57.38243,83.26591,56.08844,936.60608,291.60468
39.33,202.56056,56.99988,82.64452,56.08844,936.60608,290.57791
39.33,202.56056,56.99988,82.64452,56.08844,935.49243,290.57791
39.33,202.56056,56.99988,82.64452,56.08844,937.71979,290.57791
39.33,202.14377,56.99988,82.64452,56.08844,935.49243,290.57791
39.33,202.14377,56.99988,82.64452,56.08844,935.49243,291.60468
39.67,202.14377,56.99988,82.64452,56.08844,935.49243,290.57791
39.67,202.14377,56.99988,82.64452,56.08844,934.37872,290.57791
39.67,202.14377,56.99988,82.64452,56.08844,935.49243,290.57791
39.33,202.14377,56.99988,82.64452,56.08844,936.60608,291.60468
